Description,Price,Ratings,Review Count,URL
Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal Fabric,£39.99,4.7 out of 5 stars,"454,706",https://www.amazon.co.uk//Echo-Dot-3rd-Gen-Charcoal/dp/B07PJV3JPR/ref=sr_1_1?dchild=1&keywords=alexa&qid=1631704407&qsid=257-4916782-0421462&sr=8-1&sres=B07PJV3JPR%2CB084DWCZXZ%2CB07KD79YVL%2CB085M6F3SJ%2CB085G58KWT%2CB07SMN7FYZ%2CB084TNGZHJ%2CB084P3KP2R%2CB07NQCKJSH%2CB08KGTW3CV%2CB07PKXN9HQ%2CB07PDJ9JFF%2CB08N2YWBYF%2CB08W9JJ37B%2CB08N3P97KL%2CB08N3DBBGT
Echo Dot (4th generation) | Smart speaker with Alexa | Charcoal,£49.99,4.7 out of 5 stars,"142,930",https://www.amazon.co.uk//all-new-echo-dot-4th-generation-smart-speaker-with-alexa-charcoal/dp/B084DWCZXZ/ref=sr_1_2?dchild=1&keywords=alexa&qid=1631704407&qsid=257-4916782-0421462&sr=8-2&sres=B07PJV3JPR%2CB084DWCZXZ%2CB07KD79YVL%2CB085M6F3SJ%2CB085G58KWT%2CB07SMN7FYZ%2CB084TNGZHJ%2CB084P3KP2R%2CB07NQCKJSH%2CB08KGTW3CV%2CB07PKXN9HQ%2CB07PDJ9JFF%2CB08N2YWBYF%2CB08W9JJ37B%2CB08N3P97KL%2CB08N3DBBGT
"Echo Show 5 (1st Gen, 2019 release) – Smart Display with Alexa – Stay in touch with the help of Alexa – White",£44.99,4.7 out of 5 stars,"118,059",https://www.amazon.co.uk//amazon-echo-show-5-compact-smart-display-with-alexa/dp/B07KD79YVL/ref=sr_1_3?dchild=1&keywords=alexa&qid=1631704407&qsid=257-4916782-0421462&sr=8-3&sres=B07PJV3JPR%2CB084DWCZXZ%2CB07KD79YVL%2CB085M6F3SJ%2CB085G58KWT%2CB07SMN7FYZ%2CB084TNGZHJ%2CB084P3KP2R%2CB07NQCKJSH%2CB08KGTW3CV%2CB07PKXN9HQ%2CB07PDJ9JFF%2CB08N2YWBYF%2CB08W9JJ37B%2CB08N3P97KL%2CB08N3DBBGT
Echo Dot (4th generation) | Smart speaker with clock and Alexa | Twilight Blue,£59.99,4.8 out of 5 stars,"38,499",https://www.amazon.co.uk//all-new-echo-dot-4th-generation-smart-speaker-with-clock-and-alexa-twilight-blue/dp/B085M6F3SJ/ref=sr_1_4?dchild=1&keywords=alexa&qid=1631704407&qsid=257-4916782-0421462&sr=8-4&sres=B07PJV3JPR%2CB084DWCZXZ%2CB07KD79YVL%2CB085M6F3SJ%2CB085G58KWT%2CB07SMN7FYZ%2CB084TNGZHJ%2CB084P3KP2R%2CB07NQCKJSH%2CB08KGTW3CV%2CB07PKXN9HQ%2CB07PDJ9JFF%2CB08N2YWBYF%2CB08W9JJ37B%2CB08N3P97KL%2CB08N3DBBGT
"Echo Show 5 (1st Gen, 2019 release) – Smart Display with Alexa – Stay in touch with the help of Alexa – White",£44.99,4.7 out of 5 stars,"118,059",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0119098NFUOMVYSVR5S&url=%2Famazon-echo-show-5-compact-smart-display-with-alexa%2Fdp%2FB07KD79YVL%2Fref%3Dsr_1_5_sspa%3Fdchild%3D1%26keywords%3Dalexa%26qid%3D1631704407%26sr%3D8-5-spons%26psc%3D1&qualifier=1631704407&id=7836003217596475&widgetName=sp_mtf
Certified Refurbished Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal Fabric,£35.99,4.7 out of 5 stars,"5,181",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0976226LZB1JTH4Y9K2&url=%2FAll-new-Echo-Dot-3rd-Gen%2Fdp%2FB07PKXN9HQ%2Fref%3Dsr_1_6_sspa%3Fdchild%3D1%26keywords%3Dalexa%26qid%3D1631704407%26sr%3D8-6-spons%26psc%3D1&qualifier=1631704407&id=7836003217596475&widgetName=sp_mtf
"Echo (4th generation) | With premium sound, smart home hub and Alexa | Charcoal",£89.99,4.7 out of 5 stars,"23,032",https://www.amazon.co.uk//all-new-echo-4th-generation-with-premium-sound-smart-home-hub-and-alexa-charcoal/dp/B085G58KWT/ref=sr_1_7?dchild=1&keywords=alexa&qid=1631704407&qsid=257-4916782-0421462&sr=8-7&sres=B07PJV3JPR%2CB084DWCZXZ%2CB07KD79YVL%2CB085M6F3SJ%2CB085G58KWT%2CB07SMN7FYZ%2CB084TNGZHJ%2CB084P3KP2R%2CB07NQCKJSH%2CB08KGTW3CV%2CB07PKXN9HQ%2CB07PDJ9JFF%2CB08N2YWBYF%2CB08W9JJ37B%2CB08N3P97KL%2CB08N3DBBGT
"Echo Show 8 (1st Gen, 2019 release) – Smart Display with Alexa – Stay in touch with the help of Alexa – Charcoal",£99.99,4.7 out of 5 stars,"77,003",https://www.amazon.co.uk//amazon-echo-show-8-compact-smart-display-with-alexa/dp/B07SMN7FYZ/ref=sr_1_8?dchild=1&keywords=alexa&qid=1631704407&qsid=257-4916782-0421462&sr=8-8&sres=B07PJV3JPR%2CB084DWCZXZ%2CB07KD79YVL%2CB085M6F3SJ%2CB085G58KWT%2CB07SMN7FYZ%2CB084TNGZHJ%2CB084P3KP2R%2CB07NQCKJSH%2CB08KGTW3CV%2CB07PKXN9HQ%2CB07PDJ9JFF%2CB08N2YWBYF%2CB08W9JJ37B%2CB08N3P97KL%2CB08N3DBBGT
"All-new Echo Show 8 | 2nd generation (2021 release), HD smart display with Alexa and 13 MP camera | Glacier White",£119.99,4.7 out of 5 stars,"1,747",https://www.amazon.co.uk//echo-show-8-2nd-generation-2021-release/dp/B084TNGZHJ/ref=sr_1_9?dchild=1&keywords=alexa&qid=1631704407&qsid=257-4916782-0421462&sr=8-9&sres=B07PJV3JPR%2CB084DWCZXZ%2CB07KD79YVL%2CB085M6F3SJ%2CB085G58KWT%2CB07SMN7FYZ%2CB084TNGZHJ%2CB084P3KP2R%2CB07NQCKJSH%2CB08KGTW3CV%2CB07PKXN9HQ%2CB07PDJ9JFF%2CB08N2YWBYF%2CB08W9JJ37B%2CB08N3P97KL%2CB08N3DBBGT
"Echo Show 10 (3rd generation) | HD smart display with motion and Alexa, Charcoal Fabric",£239.99,4.5 out of 5 stars,"1,623",https://www.amazon.co.uk//all-new-echo-show-10-hd-smart-display-with-motion-and-alexa-charcoal/dp/B084P3KP2R/ref=sr_1_10?dchild=1&keywords=alexa&qid=1631704407&qsid=257-4916782-0421462&sr=8-10&sres=B07PJV3JPR%2CB084DWCZXZ%2CB07KD79YVL%2CB085M6F3SJ%2CB085G58KWT%2CB07SMN7FYZ%2CB084TNGZHJ%2CB084P3KP2R%2CB07NQCKJSH%2CB08KGTW3CV%2CB07PKXN9HQ%2CB07PDJ9JFF%2CB08N2YWBYF%2CB08W9JJ37B%2CB08N3P97KL%2CB08N3DBBGT
"Winees Smart Bulb, Alexa Light Bulbs Dimmable Wi-Fi RGBW LED Colour Changing Light Bulbs Work with Alexa & Google Assistant, Remote Control, Voice Control, No Hub Required,4 Pack [Energy Class A+]",£24.19,4.0 out of 5 stars,29,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A10379051RZOBIZUSS6HT&url=%2FDimmable-Changing-Assistant-Control-Required%2Fdp%2FB08VJCD497%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dalexa%26qid%3D1631704407%26sr%3D8-11-spons%26psc%3D1&qualifier=1631704407&id=7836003217596475&widgetName=sp_mtf
Echo Studio | High-fidelity smart speaker with 3D audio and Alexa,£189.99,4.6 out of 5 stars,"10,517",https://www.amazon.co.uk//amazon-echo-studio-high-fidelity-smart-speaker-with-3d-audio-and-alexa/dp/B07NQCKJSH/ref=sr_1_12?dchild=1&keywords=alexa&qid=1631704407&qsid=257-4916782-0421462&sr=8-12&sres=B07PJV3JPR%2CB084DWCZXZ%2CB07KD79YVL%2CB085M6F3SJ%2CB085G58KWT%2CB07SMN7FYZ%2CB084TNGZHJ%2CB084P3KP2R%2CB07NQCKJSH%2CB08KGTW3CV%2CB07PKXN9HQ%2CB07PDJ9JFF%2CB08N2YWBYF%2CB08W9JJ37B%2CB08N3P97KL%2CB08N3DBBGT
"All-new Echo Show 5 | 2nd generation (2021 release), smart display with Alexa and 2 MP camera | Charcoal",£74.99,4.6 out of 5 stars,438,https://www.amazon.co.uk//echo-show-5-2nd-generation-2021-release/dp/B08KGTW3CV/ref=sr_1_13?dchild=1&keywords=alexa&qid=1631704407&qsid=257-4916782-0421462&sr=8-13&sres=B07PJV3JPR%2CB084DWCZXZ%2CB07KD79YVL%2CB085M6F3SJ%2CB085G58KWT%2CB07SMN7FYZ%2CB084TNGZHJ%2CB084P3KP2R%2CB07NQCKJSH%2CB08KGTW3CV%2CB07PKXN9HQ%2CB07PDJ9JFF%2CB08N2YWBYF%2CB08W9JJ37B%2CB08N3P97KL%2CB08N3DBBGT
