Description,Price,Ratings,Review Count,URL
"Amazon Brand - Happy Belly Ground Coffee ""Espresso Forte"" (4 x 250g)",£9.99,4.3 out of 5 stars,"4,636",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02710056V1DRF56AMJO&url=%2FAmazon-Brand-Ground-Coffee-Espresso%2Fdp%2FB07CTT5VM7%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dcoffee%26qid%3D1631700302%26rdc%3D1%26sr%3D8-1-spons%26psc%3D1&qualifier=1631700302&id=7769782697031948&widgetName=sp_atf
Whittard of Chelsea - Coffees of The World Gift Set,£28.00,4.8 out of 5 stars,949,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08691491YFZW4Q3GTK6G&url=%2FWhittard-Coffees-World-Gift-Set%2Fdp%2FB084YTKTXG%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dcoffee%26qid%3D1631700302%26sr%3D8-2-spons%26psc%3D1%26smid%3DA2B7WB2XMX2L4V&qualifier=1631700302&id=7769782697031948&widgetName=sp_atf
"Taylors Of Harrogate Rich Italian Ground Coffee, 227 g (Pack of 6)",£18.00,4.7 out of 5 stars,"2,570",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0612644371OVDKC467GE&url=%2FTaylors-Harrogate-Italian-Ground-Coffee%2Fdp%2FB0051GN55U%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dcoffee%26qid%3D1631700302%26rdc%3D1%26sr%3D8-3-spons%26psc%3D1&qualifier=1631700302&id=7769782697031948&widgetName=sp_atf
Coffee Masters Signature Blend Coffee Beans 1kg - 100% Arabica Coffee Beans - Medium Roast Whole Coffee Beans Ideal for Espresso Machines and Filter Coffee - Rainforest Alliance Accredited,£13.99,4.5 out of 5 stars,238,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A060558631M460JH7Q2JD&url=%2FCoffee-Masters-Signature-Blend-Beans%2Fdp%2FB01N4BPY3V%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dcoffee%26qid%3D1631700302%26sr%3D8-4-spons%26psc%3D1&qualifier=1631700302&id=7769782697031948&widgetName=sp_atf
Nescafé Gold Blend Instant Coffee 750G,£24.24,4.8 out of 5 stars,"1,535",https://www.amazon.co.uk//Nescaf%C3%A9-Gold-Blend-Instant-Coffee/dp/B01B50WLWS/ref=sr_1_5?dchild=1&keywords=coffee&qid=1631700302&sr=8-5
Kenco Really Smooth 750g Tin Freeze Dried Instant Coffee 469863,£19.64,4.8 out of 5 stars,127,https://www.amazon.co.uk//Kenco-Really-Smooth-Freeze-Instant/dp/B00GHMH14S/ref=sr_1_6?dchild=1&keywords=coffee&qid=1631700302&sr=8-6
"NESCAFÉ Original Instant Coffee Granules, 1 kg",£24.59,4.8 out of 5 stars,"2,157",https://www.amazon.co.uk//NESCAF%C3%89-Original-Coffee-1-kg/dp/B01B53BPCM/ref=sr_1_7?dchild=1&keywords=coffee&qid=1631700302&sr=8-7
"Lavazza Qualita Rossa, Arabica and Robusta Medium Roast Ground Coffee, 250 g, (Pack of 12)",£34.55,4.8 out of 5 stars,"2,981",https://www.amazon.co.uk//Lavazza-Qualita-Rossa-Ground-Coffee/dp/B00DX4SAHK/ref=sr_1_8?dchild=1&keywords=coffee&qid=1631700302&sr=8-8
"Nescafe Azera Americano Instant Coffee, 100g",£2.75,4.8 out of 5 stars,"2,002",https://www.amazon.co.uk//Nescaf%C3%A9-Azera-Americano-Instant-Coffee/dp/B0151IEUMY/ref=sr_1_9?dchild=1&keywords=coffee&qid=1631700302&sr=8-9
"Lavazza Qualita Rossa, Arabica and Robusta Medium Roast Coffee Beans, Pack of 1kg",£10.00,4.7 out of 5 stars,"13,133",https://www.amazon.co.uk//Lavazza-Qualita-Rossa-Coffee-Beans/dp/B002PM23YC/ref=sr_1_10?dchild=1&keywords=coffee&qid=1631700302&sr=8-10
Douwe Egberts Medium Roast Pure Gold Freeze Dried Instant Coffee 750G,£26.25,4.8 out of 5 stars,404,https://www.amazon.co.uk//Douwe-Egberts-Medium-Freeze-Instant/dp/B00G34DGGC/ref=sr_1_11?dchild=1&keywords=coffee&qid=1631700302&sr=8-11
"Nescafe Gold Blend Instant Coffee, 200g",£5.00,4.7 out of 5 stars,"1,708",https://www.amazon.co.uk//Nescaf%C3%A9-Gold-Blend-Instant-Coffee/dp/B0758F12XY/ref=sr_1_12_0o_morri?dchild=1&keywords=coffee&qid=1631700302&sr=8-12
"Douwe Egberts Pure Indulgence Dark Roast Coffee, 190g",£5.00,4.7 out of 5 stars,33,https://www.amazon.co.uk//Douwe-Egberts-Indulgence-Coffee-190/dp/B0813YK11N/ref=sr_1_13_0o_morri?dchild=1&keywords=coffee&qid=1631700302&sr=8-13
Morrisons Gold Coffee 200g,£2.39,4.5 out of 5 stars,284,https://www.amazon.co.uk//Morrisons-Gold-Instant-Coffee-200g/dp/B07B8PTLV6/ref=sr_1_14_0o_morri?dchild=1&keywords=coffee&qid=1631700302&sr=8-14
"Morrisons The Best Colombian Coffee, 227 g",£3.60,4.4 out of 5 stars,77,https://www.amazon.co.uk//Morrisons-Best-Colombian-Coffee-227/dp/B01M9FXY4C/ref=sr_1_15_0o_morri?dchild=1&keywords=coffee&qid=1631700302&sr=8-15
Morrisons Gold Coffee 100g,£1.60,4.4 out of 5 stars,252,https://www.amazon.co.uk//Morrisons-Gold-Coffee-100g/dp/B07B8H3Q24/ref=sr_1_16_0o_morri?dchild=1&keywords=coffee&qid=1631700302&sr=8-16
Note d'Espresso- Guatemala Single Origin Filter Coffee soft pack- 250 g x 4 Pack,£13.99,4.4 out of 5 stars,"4,881",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A040036730H8944JOOVG2&url=%2FNote-dEspresso-Guatemala-Single-Origin%2Fdp%2FB07X25PYSC%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dcoffee%26qid%3D1631700302%26sr%3D8-17-spons%26psc%3D1&qualifier=1631700302&id=7769782697031948&widgetName=sp_mtf
