Description,Price,Ratings,Review Count,URL
"Betron BS10 Earphones, In Ear Headphone, Noise Isolating Earbuds, Powerful Bass Sound, 3.5mm Jack, Black",£10.99,4.3 out of 5 stars,"8,170",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0219998163H81VG08XFN&url=%2FBetron-Earphones-Headphones-Powerful-Ergonomic-Black%2Fdp%2FB01M2V05RE%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dearphones%26qid%3D1631700537%26sr%3D8-1-spons%26psc%3D1&qualifier=1631700537&id=6092049641301616&widgetName=sp_atf
Wired Earphones In Ear Headphones Wired Earbuds Noise Isolating Headset With Microphone remote sound control Compatible With iPhone Samsung Huawei Android Smartphones Tablets Laptops(white and black),£6.98,3.8 out of 5 stars,789,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00738642C1NTQ5AK49SN&url=%2FEarphones-Headphones-Microphone-Compatible-Smartphones-Black%2Fdp%2FB09278PXJG%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dearphones%26qid%3D1631700537%26sr%3D8-2-spons%26psc%3D1&qualifier=1631700537&id=6092049641301616&widgetName=sp_atf
"Betron B25 Earphones, Noise Isolating In-Ear Wired Headphones with Strong Bass, Tangle-Free Cord, Lightweight, Carry Case and Soft Earbud Tips, Black",£9.99,4.2 out of 5 stars,"19,095",https://www.amazon.co.uk//Betron-Headphones-Earphones-Smartphones-Microphone-Black/dp/B00P89DXYI/ref=sr_1_3?dchild=1&keywords=earphones&qid=1631700537&sr=8-3
"Blukar Earphones, In-Ear Headphones Earphones High Sensitivity Microphone – Noise Isolating, High Definition, Pure Sound for iPhone, iPad, Smartphone, MP3 Players etc.",£8.99,4.3 out of 5 stars,"17,782",https://www.amazon.co.uk//Earphones-Blukar-Headphones-Sensitivity-Microphone-Silver/dp/B07QLWMDLC/ref=sr_1_4?dchild=1&keywords=earphones&qid=1631700537&sr=8-4
"JUKSTG Earphones, In-Ear Headphones Wired Earphones with Microphone and Volume Control, Pure Sound and Powerful Bass, Earphones with Mic Compatible with Devices with 3.5mm Headphones Jack",£5.99,4.4 out of 5 stars,"2,938",https://www.amazon.co.uk//JUKSTG-Headphones-Sensitivity-Microphone-Compatible-black/dp/B08G123YN8/ref=sr_1_5?dchild=1&keywords=earphones&qid=1631700537&sr=8-5
"Earphones, JKSWT Wired Earbuds with Microphone and Volume Control, High Definition,Powerful Bass Sound, In-Ear Headphones Compatible with 3.5mm Headphones Devices",£5.99,4.4 out of 5 stars,"1,772",https://www.amazon.co.uk//JKSWT-Microphone-Definition-Headphones-Compatible-Black/dp/B0919BBRB2/ref=sr_1_6?dchild=1&keywords=earphones&qid=1631700537&sr=8-6
"Tiksounds Wireless Earbuds 5.1, Bluetooth Headphones in-Ear, 35H Playtime, USB-C Fast Charge, Wireless Earphones Deep Bass, Touch Control, IPX7 Waterproof Sport Wireless Headphones",£24.99,4.4 out of 5 stars,"1,813",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07676503UIVHHZAQN28L&url=%2FTiksounds-headphones-Bluetooth-Waterproof-black%2Fdp%2FB08LGRK6MT%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dearphones%26qid%3D1631700537%26sr%3D8-7-spons%26psc%3D1&qualifier=1631700537&id=6092049641301616&widgetName=sp_mtf
"4 Pairs earphones Heavy Bass Stereo Earphones Earbuds with Remote & Microphon,Laptops,Gaming Noise Isolating Tangle Free Headsets in Ear earphones",£8.99,4.1 out of 5 stars,"2,260",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04207112MBFY656JIGM9&url=%2FMUNSKT-Headphones-Microphone-Isolating-Smartphones-4-mixed-colors%2Fdp%2FB07XN1BMFN%2Fref%3Dsr_1_8_sspa%3Fdchild%3D1%26keywords%3Dearphones%26qid%3D1631700537%26sr%3D8-8-spons%26psc%3D1&qualifier=1631700537&id=6092049641301616&widgetName=sp_mtf
"Earphones, JKSWT Wired Headphones with Microphone and Volume Control,Powerful Bass Sound,In-Ear Headphones Compatible with Most 3.5mm Devices",£5.99,4.3 out of 5 stars,"5,162",https://www.amazon.co.uk//JKSWT-Headphones-Sensitivity-Microphone-compatible-Black/dp/B085T5DR32/ref=sr_1_9?dchild=1&keywords=earphones&qid=1631700537&sr=8-9
Samsung Galaxy Buds Live Wireless Earphones Mystic Bronze (UK Version),£108.53,4.5 out of 5 stars,"13,384",https://www.amazon.co.uk//Samsung-Galaxy-Wireless-Earphones-Version/dp/B08C5G5SL8/ref=sr_1_10?dchild=1&keywords=earphones&qid=1631700537&sr=8-10
Sony MDREX110APB.CE7 Deep Bass Earphones with Smartphone Control and Mic - Metallic Black,£11.99,4.4 out of 5 stars,"3,989",https://www.amazon.co.uk//Sony-MDREX110APB-CE7-Earphones-Smartphone-Control-Metallic-Black/dp/B00I3LUUIU/ref=sr_1_11?dchild=1&keywords=earphones&qid=1631700537&sr=8-11
"Biseoamz Headphones for i Phone 12, Stereo Earphones for Phone 7 Magnetic In-Ear Headphones Wired Earbuds with Mic Compatible with Phone 12, Phone 11 Pro Max, Phone X, XS Max, XR, Phone 8, 8 Plus, 7",£15.99,4.3 out of 5 stars,"2,519",https://www.amazon.co.uk//Headphones-Earphones-Magnetic-Earbuds-Compatible/dp/B07ZNQYB27/ref=sr_1_12?dchild=1&keywords=earphones&qid=1631700537&sr=8-12
"New Upgrade, Wireless Earphones, Earbuds with More Than 5 Hours Playing Time Deep Bass Stereo Production With Voice Assistance 10M Bluetooth Range V5.0 Plus Charging Pot",£22.00,3.9 out of 5 stars,42,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A102724731YD8Y8XN34&url=%2FEarphones-Authentic-Production10M-Bluetooth-RangeV4-2-Black%2Fdp%2FB081WNLQXF%2Fref%3Dsr_1_13_sspa%3Fdchild%3D1%26keywords%3Dearphones%26qid%3D1631700537%26sr%3D8-13-spons%26psc%3D1&qualifier=1631700537&id=6092049641301616&widgetName=sp_mtf
"Wireless Earbuds, Anker Soundcore Life P2 Wireless Headphones with cVc 8.0 Noise Reduction, Bluetooth Earbuds with Clear Sound, 40H Playtime, IPX7 Waterproof, Wireless Earphones for Work, Home Office",£41.99,4.3 out of 5 stars,"85,504",https://www.amazon.co.uk//Soundcore-Microphones-Reduction-Waterproof-Earphones-Black/dp/B07SJR6HL3/ref=sr_1_14?dchild=1&keywords=earphones&qid=1631700537&sr=8-14
"Wireless Earbuds, E90 Bluetooth Earbuds Built-in Dual-Mic Stereo/Deep Bass/Type-C Fast Charge/Touch Control/IPX8 Waterproof/Low Latency/White In-Ear Wireless Earphones for Business, Travels, Sports",£21.98,4.7 out of 5 stars,163,https://www.amazon.co.uk//Wireless-Bluetooth-Dual-Mic-Waterproof-Earphones-White/dp/B098FC876Y/ref=sr_1_15?dchild=1&keywords=earphones&qid=1631700537&sr=8-15
"Hi-Res Extra Bass Earbuds Noise Isolating In-Ear Headphones Wired Earbuds with Microphone for iPhone, iPod, iPad, MP3, HUAWEI, Samsung, Lightweight Earphones with Volume Control 3.5mm Jack Headphones",£10.99,4.3 out of 5 stars,"5,265",https://www.amazon.co.uk//Isolating-Headphones-Microphone-Lightweight-Earphones/dp/B083J88QRS/ref=sr_1_16?dchild=1&keywords=earphones&qid=1631700537&sr=8-16
"Wireless Headphones, Tiksounds Bluetooth Headphones with Microphone, IPX7 Waterproof, HI-FI Stereo earphones, 150H Playtime with Charging Case, LED Display for Work/Sports/Game",£25.99,4.2 out of 5 stars,"14,211",https://www.amazon.co.uk//Wireless-Headphones-Charging-Immersive-Waterproof-Black/dp/B08B3QSV16/ref=sr_1_17?dchild=1&keywords=earphones&qid=1631700537&sr=8-17
ASENTER 4 Pack Headphones Earphones Earbuds 3.5mm Wired Headphones Noise Isolating Earphones with Built-in Microphon Volume Control Compatible with iPhone 6 Plus SE 5S 4 Samsung Android MP3,£8.99,4.2 out of 5 stars,224,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03522352HSDBFT2UQ3ND&url=%2FASENTER-Headphones-Earphones-Isolating-Compatible%2Fdp%2FB08YQTDY83%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dearphones%26qid%3D1631700537%26sr%3D8-18-spons%26psc%3D1&qualifier=1631700537&id=6092049641301616&widgetName=sp_mtf
"SoundPEATS Bluetooth Earphones with Mic, Q30 HD Dual 5.0 Wireless Earbuds Magnetic IPX6 Running Headphones,APTX-HD, CVC Noise Cancellation, 10mm Drivers, Super Bass,Lightweight,13 Hrs Play Time",£32.99,4.3 out of 5 stars,650,https://www.amazon.co.uk//SoundPEATS-Bluetooth-Headphones-Cancellation-Lightweight-Black/dp/B0836XWCPN/ref=sr_1_19?dchild=1&keywords=earphones&qid=1631700537&sr=8-19
"Bose QuietComfort Noise Cancelling Earbuds, True Wireless Bluetooth Earphones, Triple Black",£249.00,4.4 out of 5 stars,"10,111",https://www.amazon.co.uk//Bose-QuietComfort-Cancelling-Earbuds-True-Earphones-Triple-Triple-Black/dp/B08C4KWM9T/ref=sr_1_20?dchild=1&keywords=earphones&qid=1631700537&sr=8-20
