Description,Price,Ratings,Review Count,URL
"Philips Sonicare Advanced Whitening Edition Rechargeable Toothbrush, 4 Modes, 3 Intensities, Gum Pressure Sensor, Bluetooth, UK 2-Pin Bathroom Plug - Black - Hx9631/17",£99.99,4.5 out of 5 stars,201,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0882911SP1N45JN69EB&url=%2FPhilips-Whitening-Rechargeable-Toothbrush-Intensities%2Fdp%2FB08L1XSYH7%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Delectric%2Btoothbrush%26qid%3D1631704707%26sr%3D8-1-spons%26psc%3D1&qualifier=1631704707&id=5627325231059802&widgetName=sp_atf
"Philips Sonicare DiamondClean 9000 Black Electric Toothbrush, 2020 Edition, 4 Modes, 3 Intensities, Gum Pressure Sensor, App, Connected Handle, USB Travel Case, UK 2-Pin Bathroom Plug - HX9911/39",£259.99,4.5 out of 5 stars,"1,300",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10447322Q8U0BKY8O2AJ&url=%2FPhilips-DiamondClean-Toothbrush-Intensities-Connected%2Fdp%2FB087VLVSLD%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Delectric%2Btoothbrush%26qid%3D1631704707%26sr%3D8-2-spons%26psc%3D1&qualifier=1631704707&id=5627325231059802&widgetName=sp_atf
"Oral-B Smart 6 6000N CrossAction Electric Toothbrush, 1 White App Connected Handle, 5 Modes, Pressure Sensor, 3 Toothbrush Heads, Premium Travel Case, 2 Pin UK Plug, Gift, With No Visible Mode Display",£69.99,4.7 out of 5 stars,"12,934",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01720683ER1K13SVU6PX&url=%2FOral-B-CrossAction-Electric-Toothbrush-Connected%2Fdp%2FB08CD8KPRG%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Delectric%2Btoothbrush%26qid%3D1631704707%26sr%3D8-3-spons%26psc%3D1&qualifier=1631704707&id=5627325231059802&widgetName=sp_atf
"Oral-B Genius X Black Electric Toothbrush, 1 Premium Handle Using Artificial Intelligence, 1 Toothbrush Head, 1 Travel Case, Designed By Braun, 2 Pin UK Plug",£109.99,4.7 out of 5 stars,"6,592",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04128682U26JCKD3CJ7N&url=%2FOral-B-Electric-Toothbrush-Artificial-Intelligence%2Fdp%2FB094VM2ZMC%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Delectric%2Btoothbrush%26qid%3D1631704707%26sr%3D8-4-spons%26psc%3D1&qualifier=1631704707&id=5627325231059802&widgetName=sp_atf
"Oral-B Pro 2 2500 CrossAction Electric Toothbrush Rechargeable Powered by Braun, 1 Handle, 2 Modes Including Gum Care, 1 Toothbrush Head, Travel Case, 2-Pin UK Plug, Christmas Gift for Men/Women",£41.64,4.7 out of 5 stars,"47,502",https://www.amazon.co.uk//Oral-B-CrossAction-Electric-Toothbrush-Rechargeable/dp/B00PIRQEBO/ref=sr_1_5?dchild=1&keywords=electric+toothbrush&qid=1631704707&qsid=257-4916782-0421462&sr=8-5&sres=B00PIRQEBO%2CB094VMSCQK%2CB01EY8LJTE%2CB00WAKQP7A%2CB08CDB4YZG%2CB0759N6YPJ%2CB00K2U5X6Y%2CB094VNNTWN%2CB072DTPBHF%2CB01EY8LK4I%2CB087VLVSLD%2CB09B7513ZT%2CB073CX46C6%2CB07B12TSX4%2CB08L1XSYH7%2CB0759J8G7P%2CB0835DXMY6%2CB071143Q4J%2CB089MY1N3H%2CB089MY5RJS&srpt=TOOTHBRUSH
"Oral-B Pro 3 - 3900 - Set of 2 Electric Toothbrushes Pink & Black, 2 Handles with Visible Pressure Sensor, 2 Toothbrush Heads, Designed By Braun, 2 Pin UK Plug",£55.00,4.6 out of 5 stars,182,https://www.amazon.co.uk//Oral-B-Pro-Electric-Toothbrushes-Toothbrush/dp/B094VMSCQK/ref=sr_1_6?dchild=1&keywords=electric+toothbrush&qid=1631704707&qsid=257-4916782-0421462&sr=8-6&sres=B00PIRQEBO%2CB094VMSCQK%2CB01EY8LJTE%2CB00WAKQP7A%2CB08CDB4YZG%2CB0759N6YPJ%2CB00K2U5X6Y%2CB094VNNTWN%2CB072DTPBHF%2CB01EY8LK4I%2CB087VLVSLD%2CB09B7513ZT%2CB073CX46C6%2CB07B12TSX4%2CB08L1XSYH7%2CB0759J8G7P%2CB0835DXMY6%2CB071143Q4J%2CB089MY1N3H%2CB089MY5RJS&srpt=TOOTHBRUSH
"Oral-B Pro 650 3D White Electric Rechargeable Toothbrush Powered by Braun, 1 Pink Handle, 1 Oral-B 3D White Luxe Perfection Toothpaste, 2 Pin UK Plug",£32.26,4.7 out of 5 stars,"26,840",https://www.amazon.co.uk//Oral-B-Electric-Rechargeable-Toothbrush-Toothpaste/dp/B01EY8LJTE/ref=sr_1_7?dchild=1&keywords=electric+toothbrush&qid=1631704707&qsid=257-4916782-0421462&sr=8-7&sres=B00PIRQEBO%2CB094VMSCQK%2CB01EY8LJTE%2CB00WAKQP7A%2CB08CDB4YZG%2CB0759N6YPJ%2CB00K2U5X6Y%2CB094VNNTWN%2CB072DTPBHF%2CB01EY8LK4I%2CB087VLVSLD%2CB09B7513ZT%2CB073CX46C6%2CB07B12TSX4%2CB08L1XSYH7%2CB0759J8G7P%2CB0835DXMY6%2CB071143Q4J%2CB089MY1N3H%2CB089MY5RJS&srpt=TOOTHBRUSH
"Oral-B Vitality Plus CrossAction Electric Rechargeable Toothbrush, 1 Blue Handle, 2 Brush Heads, UK 2 Pin Bathroom Plug",£20.00,4.6 out of 5 stars,"29,353",https://www.amazon.co.uk//Oral-B-Vitality-Electric-Toothbrush-Bathroom/dp/B00WAKQP7A/ref=sr_1_8_0o_morri?dchild=1&keywords=electric+toothbrush&qid=1631704707&qsid=257-4916782-0421462&sr=8-8&sres=B00PIRQEBO%2CB094VMSCQK%2CB01EY8LJTE%2CB00WAKQP7A%2CB08CDB4YZG%2CB0759N6YPJ%2CB00K2U5X6Y%2CB094VNNTWN%2CB072DTPBHF%2CB01EY8LK4I%2CB087VLVSLD%2CB09B7513ZT%2CB073CX46C6%2CB07B12TSX4%2CB08L1XSYH7%2CB0759J8G7P%2CB0835DXMY6%2CB071143Q4J%2CB089MY1N3H%2CB089MY5RJS&srpt=TOOTHBRUSH
"Oral-B Smart 6 6000N CrossAction Electric Toothbrush, 1 Black App Connected Handle, 5 Modes, Pressure Sensor, 3 Toothbrush Heads, Premium Travel Case, 2 Pin UK Plug, Gift, With No Visible Mode Display",£69.99,4.7 out of 5 stars,"12,934",https://www.amazon.co.uk//Oral-B-CrossAction-Electric-Toothbrush-Connected/dp/B08CDB4YZG/ref=sr_1_9?dchild=1&keywords=electric+toothbrush&qid=1631704707&qsid=257-4916782-0421462&sr=8-9&sres=B00PIRQEBO%2CB094VMSCQK%2CB01EY8LJTE%2CB00WAKQP7A%2CB08CDB4YZG%2CB0759N6YPJ%2CB00K2U5X6Y%2CB094VNNTWN%2CB072DTPBHF%2CB01EY8LK4I%2CB087VLVSLD%2CB09B7513ZT%2CB073CX46C6%2CB07B12TSX4%2CB08L1XSYH7%2CB0759J8G7P%2CB0835DXMY6%2CB071143Q4J%2CB089MY1N3H%2CB089MY5RJS&srpt=TOOTHBRUSH
"Oral-B Pro 2 2900 Set of 2 CrossAction Electric Rechargeable Toothbrushes, 1 Black and 1 Pink Handle, 2 Modes: Daily Clean and Sensitive, Gum Pressure Sensor, 2 Toothbrush Heads, 2 Pin UK Plug",£59.99,4.7 out of 5 stars,"23,213",https://www.amazon.co.uk//Oral-B-CrossAction-Toothbrushes-Rechargeable-Toothbrush/dp/B0759N6YPJ/ref=sr_1_10?dchild=1&keywords=electric+toothbrush&qid=1631704707&qsid=257-4916782-0421462&sr=8-10&sres=B00PIRQEBO%2CB094VMSCQK%2CB01EY8LJTE%2CB00WAKQP7A%2CB08CDB4YZG%2CB0759N6YPJ%2CB00K2U5X6Y%2CB094VNNTWN%2CB072DTPBHF%2CB01EY8LK4I%2CB087VLVSLD%2CB09B7513ZT%2CB073CX46C6%2CB07B12TSX4%2CB08L1XSYH7%2CB0759J8G7P%2CB0835DXMY6%2CB071143Q4J%2CB089MY1N3H%2CB089MY5RJS&srpt=TOOTHBRUSH
