Description,Price,Ratings,Review Count,URL
"External Hard Drive 1TB 2TB,Portable Hard Drive External Slim Data Storage Compatible with PC, Laptop and Mac(1TB Silver)",£33.15,1.0 out of 5 stars,1,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0589982JVPVRX4J8SGB&url=%2FExternal-Portable-Storage-Compatible-Laptop%2Fdp%2FB09CQB4CP4%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dexternal%2Bhard%2Bdrive%26qid%3D1631704544%26sr%3D8-1-spons%26psc%3D1&qualifier=1631704544&id=624839740426016&widgetName=sp_atf
"UnionSine 320GB External Hard Drive Portable USB3.0 HDD Storage Compatible for PC,Hard Drive,Desktop, Laptop, Xbox One, Xbox 360, PS4(Black) HD-006",£26.89,4.5 out of 5 stars,784,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02920892Q2A8VF4R6PQF&url=%2FUnionSine-External-Portable-Storage-Compatible%2Fdp%2FB091FRPBL3%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dexternal%2Bhard%2Bdrive%26qid%3D1631704544%26sr%3D8-2-spons%26psc%3D1&qualifier=1631704544&id=624839740426016&widgetName=sp_atf
"Toshiba Canvio Basics 1TB Portable External Hard Drive USB 3.0 for PC, Xbox, PS4. HDTB410EK3AA",£37.98,4.7 out of 5 stars,"86,854",https://www.amazon.co.uk//Toshiba-HDTB410EK3AA-2-5-Inch-Portable-External/dp/B07997KKSK/ref=sr_1_3?dchild=1&keywords=external+hard+drive&qid=1631704544&qsid=257-4916782-0421462&sr=8-3&sres=B07997KKSK%2CB06VVS7S94%2CB07DQ5ZH1D%2CB01IAD5ZC6%2CB01IAD5ZEE%2CB0058VIWTM%2CB07BDQ7BV2%2CB08GR3VPQ9%2CB01065S79E%2CB08JDRRFZW%2CB08GR2HD5X%2CB0744X4HVV%2CB091FV14V9%2CB07MQDD442%2CB00TKFEEAS%2CB0744JNZHS&srpt=COMPUTER_DRIVE_OR_STORAGE
"WD 1 TB Elements Portable External Hard Drive - USB 3.0, Black",£39.98,4.7 out of 5 stars,"33,357",https://www.amazon.co.uk//WD-Elements-Portable-External-Drive/dp/B06VVS7S94/ref=sr_1_4?dchild=1&keywords=external+hard+drive&qid=1631704544&qsid=257-4916782-0421462&sr=8-4&sres=B07997KKSK%2CB06VVS7S94%2CB07DQ5ZH1D%2CB01IAD5ZC6%2CB01IAD5ZEE%2CB0058VIWTM%2CB07BDQ7BV2%2CB08GR3VPQ9%2CB01065S79E%2CB08JDRRFZW%2CB08GR2HD5X%2CB0744X4HVV%2CB091FV14V9%2CB07MQDD442%2CB00TKFEEAS%2CB0744JNZHS&srpt=COMPUTER_DRIVE_OR_STORAGE
"Seagate Portable, 1 TB, External Hard Drive HDD for PC Laptop and Mac and Two-year Rescue Services (STGX1000400) - Amazon Exclusive, Dark Grey",£39.36,4.7 out of 5 stars,"58,240",https://www.amazon.co.uk//Seagate-Expansion-Portable-PlayStation-STGX1000400/dp/B07DQ5ZH1D/ref=sr_1_5?dchild=1&keywords=external+hard+drive&qid=1631704544&qsid=257-4916782-0421462&sr=8-5&sres=B07997KKSK%2CB06VVS7S94%2CB07DQ5ZH1D%2CB01IAD5ZC6%2CB01IAD5ZEE%2CB0058VIWTM%2CB07BDQ7BV2%2CB08GR3VPQ9%2CB01065S79E%2CB08JDRRFZW%2CB08GR2HD5X%2CB0744X4HVV%2CB091FV14V9%2CB07MQDD442%2CB00TKFEEAS%2CB0744JNZHS&srpt=COMPUTER_DRIVE_OR_STORAGE
"Seagate Backup Plus Hub 8 TB, External Hard Drive, 3.5"", USB 3.0, Desktop, for PC and Mac, with 2 Months Free Adobe Creative Cloud Photography Plan",£159.99,4.6 out of 5 stars,"1,113",https://www.amazon.co.uk//Seagate-Desktop-External-Creative-Photography/dp/B01IAD5ZC6/ref=sr_1_6?dchild=1&keywords=external+hard+drive&qid=1631704544&qsid=257-4916782-0421462&sr=8-6&sres=B07997KKSK%2CB06VVS7S94%2CB07DQ5ZH1D%2CB01IAD5ZC6%2CB01IAD5ZEE%2CB0058VIWTM%2CB07BDQ7BV2%2CB08GR3VPQ9%2CB01065S79E%2CB08JDRRFZW%2CB08GR2HD5X%2CB0744X4HVV%2CB091FV14V9%2CB07MQDD442%2CB00TKFEEAS%2CB0744JNZHS&srpt=COMPUTER_DRIVE_OR_STORAGE
"USB Flash Drive 1TB - Thumb Drive, High Speed USB Drive, Portable Ultra Large Data Storage USB Memory Stick, Jump Drive Pen Drive Come with Keychain",£25.99,3.9 out of 5 stars,35,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03044682NDSJAEPLIYMA&url=%2FUSB-Flash-Drive-1TB-Portable-Silver%2Fdp%2FB094XNC78M%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dexternal%2Bhard%2Bdrive%26qid%3D1631704544%26sr%3D8-7-spons%26psc%3D1&qualifier=1631704544&id=624839740426016&widgetName=sp_mtf
"Seagate 6 TB Backup Plus Hub USB 3.0 Desktop 3.5 Inch External Hard Drive for PC and Mac with 2 Months Free Adobe Creative Cloud Photography Plan, Black",£104.99,4.6 out of 5 stars,"1,651",https://www.amazon.co.uk//Seagate-Desktop-External-Creative-Photography/dp/B01IAD5ZEE/ref=sr_1_8?dchild=1&keywords=external+hard+drive&qid=1631704544&qsid=257-4916782-0421462&sr=8-8&sres=B07997KKSK%2CB06VVS7S94%2CB07DQ5ZH1D%2CB01IAD5ZC6%2CB01IAD5ZEE%2CB0058VIWTM%2CB07BDQ7BV2%2CB08GR3VPQ9%2CB01065S79E%2CB08JDRRFZW%2CB08GR2HD5X%2CB0744X4HVV%2CB091FV14V9%2CB07MQDD442%2CB00TKFEEAS%2CB0744JNZHS&srpt=COMPUTER_DRIVE_OR_STORAGE
"LaCie Rugged Mini 1TB USB 3.0 Portable 2.5 inch External Hard Drive for PC and Mac, Orange / Grey",£60.53,4.6 out of 5 stars,"14,187",https://www.amazon.co.uk//LaCie-Portable-Resistant-External-LAC301558/dp/B0058VIWTM/ref=sr_1_9?dchild=1&keywords=external+hard+drive&qid=1631704544&qsid=257-4916782-0421462&sr=8-9&sres=B07997KKSK%2CB06VVS7S94%2CB07DQ5ZH1D%2CB01IAD5ZC6%2CB01IAD5ZEE%2CB0058VIWTM%2CB07BDQ7BV2%2CB08GR3VPQ9%2CB01065S79E%2CB08JDRRFZW%2CB08GR2HD5X%2CB0744X4HVV%2CB091FV14V9%2CB07MQDD442%2CB00TKFEEAS%2CB0744JNZHS&srpt=COMPUTER_DRIVE_OR_STORAGE
"2.5"" Portable External Hard Drive 320GB-USB 3.0 Ultra Slim Aluminum HDD Backup for PC/Desktop/Laptop/TV/Mac/MacBook/XBox/PS4/Chromebook/Windows - Charcoal",£23.79,4.5 out of 5 stars,"27,310",https://www.amazon.co.uk//Portable-External-320GB-USB-Aluminum-Chromebook/dp/B07BDQ7BV2/ref=sr_1_10?dchild=1&keywords=external+hard+drive&qid=1631704544&qsid=257-4916782-0421462&sr=8-10&sres=B07997KKSK%2CB06VVS7S94%2CB07DQ5ZH1D%2CB01IAD5ZC6%2CB01IAD5ZEE%2CB0058VIWTM%2CB07BDQ7BV2%2CB08GR3VPQ9%2CB01065S79E%2CB08JDRRFZW%2CB08GR2HD5X%2CB0744X4HVV%2CB091FV14V9%2CB07MQDD442%2CB00TKFEEAS%2CB0744JNZHS&srpt=COMPUTER_DRIVE_OR_STORAGE
"Seagate One Touch, Portable External Hard Drive, 4TB, PC Notebook & Mac USB 3.0, Black, 1 yr MylioCreate, 4 mo Adobe Creative Cloud Photography and Two-yr Rescue Services (STKC4000404)",£79.99,4.4 out of 5 stars,127,https://www.amazon.co.uk//Seagate-Portable-MylioCreate-Photography-STKC4000404/dp/B08GR3VPQ9/ref=sr_1_11?dchild=1&keywords=external+hard+drive&qid=1631704544&qsid=257-4916782-0421462&sr=8-11&sres=B07997KKSK%2CB06VVS7S94%2CB07DQ5ZH1D%2CB01IAD5ZC6%2CB01IAD5ZEE%2CB0058VIWTM%2CB07BDQ7BV2%2CB08GR3VPQ9%2CB01065S79E%2CB08JDRRFZW%2CB08GR2HD5X%2CB0744X4HVV%2CB091FV14V9%2CB07MQDD442%2CB00TKFEEAS%2CB0744JNZHS&srpt=COMPUTER_DRIVE_OR_STORAGE
"External Hard Drive1TB 2TB,Portable Hard Drive External Slim Hard Drive Data Storage Compatible with PC, Laptop and Mac(2TB Silver)",£33.17,1.0 out of 5 stars,1,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08915483IXFTUPN1A8YA&url=%2FExternal-Drive1TB-Portable-Storage-Compatible%2Fdp%2FB09CG6YDWY%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dexternal%2Bhard%2Bdrive%26qid%3D1631704544%26sr%3D8-12-spons%26psc%3D1&qualifier=1631704544&id=624839740426016&widgetName=sp_mtf
"Seagate Game Drive for Xbox, 2 TB, External Hard Drive Portable HDD, Designed for Xbox One, and Two-year Rescue Services (STEA2000403) , Green",£58.99,4.8 out of 5 stars,"38,555",https://www.amazon.co.uk//Seagate-Game-Drive-Portable-External/dp/B01065S79E/ref=sr_1_13?dchild=1&keywords=external+hard+drive&qid=1631704544&qsid=257-4916782-0421462&sr=8-13&sres=B07997KKSK%2CB06VVS7S94%2CB07DQ5ZH1D%2CB01IAD5ZC6%2CB01IAD5ZEE%2CB0058VIWTM%2CB07BDQ7BV2%2CB08GR3VPQ9%2CB01065S79E%2CB08JDRRFZW%2CB08GR2HD5X%2CB0744X4HVV%2CB091FV14V9%2CB07MQDD442%2CB00TKFEEAS%2CB0744JNZHS&srpt=COMPUTER_DRIVE_OR_STORAGE
