Description,Price,Ratings,Review Count,URL
Razer Blade 15 Base Model 2020: FHD-144Hz RTX 2070,"£1,379.00",4.3 out of 5 stars,539,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02545022IEASN4AJITWX&url=%2FRazer-Blade-15-Base-Model%2Fdp%2FB086XX9FZD%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dgaming%2Blaptop%26qid%3D1631704432%26sr%3D8-1-spons%26psc%3D1&qualifier=1631704432&id=1590638546818845&widgetName=sp_atf
"ASUS TUF Dash FX516PR 15.6 Inch Full HD 144 Hz Gaming Laptop (Intel i7-11370H, Nvidia GeForce RTX 3070 8 GB Graphics, 16 GB RAM (8 GB x 2), 512 GB SSD, Windows 10)","£1,299.98",4.2 out of 5 stars,295,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A025444615XISB9MBY7H9&url=%2FASUS-FX516PR-i7-11370H-GeForce-Graphics%2Fdp%2FB08QYZYSMC%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dgaming%2Blaptop%26qid%3D1631704432%26sr%3D8-2-spons%26psc%3D1&qualifier=1631704432&id=1590638546818845&widgetName=sp_atf
"HP Pavilion 15-ec1001na 15.6 Inch Full HD Gaming Laptop - (Shadow Black) (AMD Ryzen 5 4600H, NVIDIA GeForce GTX 1650 (4 GB Dedicated) Graphics, 8 GB RAM, 256 GB SSD, Windows 10 Home)",£649.99,4.6 out of 5 stars,624,https://www.amazon.co.uk//HP-Pavilion-15-ec1001na-Gaming-Laptop/dp/B0877L4KMD/ref=sr_1_3?dchild=1&keywords=gaming+laptop&qid=1631704432&qsid=257-4916782-0421462&sr=8-3&sres=B0877L4KMD%2CB08ZT999QF%2CB08CR3LJY2%2CB0963W81GJ%2CB08GPRBS8K%2CB08PMJ68VC%2CB08QYZYSMC%2CB08ZT7MJW6%2CB08CC1X9ZD%2CB088P2JCJ3%2CB089BM569X%2CB09B3V4N8H%2CB08JNFW4TX%2CB086TC8GN7%2CB08KWFX2DD%2CB093ZYXW8M&srpt=NOTEBOOK_COMPUTER
"MSI GP65 Leopard 10SDK-822UK FHD 144 Hz 45% NTSC IPS-Level 15.6 Inch Gaming Laptop (Intel i7-10750H, NVIDIA GeForce GTX1660Ti 6 GB, 512GB NVMe PCIe Gen3x4 SSD, 16 GB RAM, Wi-Fi 6, 51 Whr) Black","£1,199.00",4.0 out of 5 stars,3,https://www.amazon.co.uk//MSI-10SDK-822UK-IPS-Level-i7-10750H-GTX1660Ti/dp/B08ZT999QF/ref=sr_1_4?dchild=1&keywords=gaming+laptop&qid=1631704432&qsid=257-4916782-0421462&sr=8-4&sres=B0877L4KMD%2CB08ZT999QF%2CB08CR3LJY2%2CB0963W81GJ%2CB08GPRBS8K%2CB08PMJ68VC%2CB08QYZYSMC%2CB08ZT7MJW6%2CB08CC1X9ZD%2CB088P2JCJ3%2CB089BM569X%2CB09B3V4N8H%2CB08JNFW4TX%2CB086TC8GN7%2CB08KWFX2DD%2CB093ZYXW8M&srpt=NOTEBOOK_COMPUTER
"ASUS TUF Gaming F17 FX706LI 144hz Full HD 17.3"" Gaming Laptop (Intel i5-10300H, NVIDIA GeForce GTX 1650Ti, 16GB RAM (2x 8GB), 512GB PCIe SSD, Windows 10, RGB Keyboard)",£799.99,4.9 out of 5 stars,9,https://www.amazon.co.uk//ASUS-FX706LI-i5-10300H-GeForce-GTX-1650Ti-Keyboard/dp/B08CR3LJY2/ref=sr_1_5?dchild=1&keywords=gaming+laptop&qid=1631704432&qsid=257-4916782-0421462&sr=8-5&sres=B0877L4KMD%2CB08ZT999QF%2CB08CR3LJY2%2CB0963W81GJ%2CB08GPRBS8K%2CB08PMJ68VC%2CB08QYZYSMC%2CB08ZT7MJW6%2CB08CC1X9ZD%2CB088P2JCJ3%2CB089BM569X%2CB09B3V4N8H%2CB08JNFW4TX%2CB086TC8GN7%2CB08KWFX2DD%2CB093ZYXW8M&srpt=NOTEBOOK_COMPUTER
"ASUS ROG Strix G512LI 15.6 Inch 144Hz Gaming Laptop (Intel Core i5-10300H, Nvidia GeForce GTX 1650Ti, 8GB RAM, 512GB PCIe SSD) Ships without Operating System",£649.98,4.5 out of 5 stars,77,https://www.amazon.co.uk//ASUS-i5-10300H-GeForce-without-Operating/dp/B0963W81GJ/ref=sr_1_6?dchild=1&keywords=gaming+laptop&qid=1631704432&qsid=257-4916782-0421462&sr=8-6&sres=B0877L4KMD%2CB08ZT999QF%2CB08CR3LJY2%2CB0963W81GJ%2CB08GPRBS8K%2CB08PMJ68VC%2CB08QYZYSMC%2CB08ZT7MJW6%2CB08CC1X9ZD%2CB088P2JCJ3%2CB089BM569X%2CB09B3V4N8H%2CB08JNFW4TX%2CB086TC8GN7%2CB08KWFX2DD%2CB093ZYXW8M&srpt=NOTEBOOK_COMPUTER
"Acer Aspire 5 A515-55 15.6 inch Laptop - (Intel Core i5-1035G1, 8GB, 512GB SSD, Full HD Display, Windows 10, Black) - Amazon Exclusive",£599.99,4.2 out of 5 stars,150,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05435191VFKI4ICG8YLG&url=%2FAcer-Aspire-A515-55-15-6-Laptop%2Fdp%2FB097F477YF%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dgaming%2Blaptop%26qid%3D1631704432%26sr%3D8-7-spons%26psc%3D1&qualifier=1631704432&id=1590638546818845&widgetName=sp_mtf
"Lenovo IdeaPad L340 15 Inch Gaming Laptop - Intel Core i5 Processor, NVIDIA GeForce GTX 1650, 8GB RAM, 256 SSD",£660.63,5.0 out of 5 stars,8,https://www.amazon.co.uk//Lenovo-IdeaPad-L340-Gaming-Laptop/dp/B08GPRBS8K/ref=sr_1_8?dchild=1&keywords=gaming+laptop&qid=1631704432&qsid=257-4916782-0421462&sr=8-8&sres=B0877L4KMD%2CB08ZT999QF%2CB08CR3LJY2%2CB0963W81GJ%2CB08GPRBS8K%2CB08PMJ68VC%2CB08QYZYSMC%2CB08ZT7MJW6%2CB08CC1X9ZD%2CB088P2JCJ3%2CB089BM569X%2CB09B3V4N8H%2CB08JNFW4TX%2CB086TC8GN7%2CB08KWFX2DD%2CB093ZYXW8M&srpt=NOTEBOOK_COMPUTER
MEDION Crawler E10 Core i5-10300H 8GB 256GB SSD 15.6 Inch GeForce GTX 1650 Windows 10 Gaming Laptop,£579.97,5.0 out of 5 stars,2,https://www.amazon.co.uk//Medion-Erazer-Crawler-E10-i5-10300H/dp/B08PMJ68VC/ref=sr_1_9?dchild=1&keywords=gaming+laptop&qid=1631704432&qsid=257-4916782-0421462&sr=8-9&sres=B0877L4KMD%2CB08ZT999QF%2CB08CR3LJY2%2CB0963W81GJ%2CB08GPRBS8K%2CB08PMJ68VC%2CB08QYZYSMC%2CB08ZT7MJW6%2CB08CC1X9ZD%2CB088P2JCJ3%2CB089BM569X%2CB09B3V4N8H%2CB08JNFW4TX%2CB086TC8GN7%2CB08KWFX2DD%2CB093ZYXW8M&srpt=NOTEBOOK_COMPUTER
"ASUS TUF Dash FX516PR 15.6 Inch Full HD 144 Hz Gaming Laptop (Intel i7-11370H, Nvidia GeForce RTX 3070 8 GB Graphics, 16 GB RAM (8 GB x 2), 512 GB SSD, Windows 10)","£1,299.98",4.2 out of 5 stars,295,https://www.amazon.co.uk//ASUS-FX516PR-i7-11370H-GeForce-Graphics/dp/B08QYZYSMC/ref=sr_1_10?dchild=1&keywords=gaming+laptop&qid=1631704432&qsid=257-4916782-0421462&sr=8-10&sres=B0877L4KMD%2CB08ZT999QF%2CB08CR3LJY2%2CB0963W81GJ%2CB08GPRBS8K%2CB08PMJ68VC%2CB08QYZYSMC%2CB08ZT7MJW6%2CB08CC1X9ZD%2CB088P2JCJ3%2CB089BM569X%2CB09B3V4N8H%2CB08JNFW4TX%2CB086TC8GN7%2CB08KWFX2DD%2CB093ZYXW8M&srpt=NOTEBOOK_COMPUTER
