Description,Price,Ratings,Review Count,URL
"PUSOKEI 4K@60Hz 55W Gaming GPU, 3Pin+3Pin Power Supply 128Bit/s 14nm 4G/GDDR5 1176/6000MHz GPU with Cooling Fan DP//DVI Output Graphics card for 7/10",£266.29,,,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A008246913Z6N1LATPCPV&url=%2FPUSOKEI-Gaming-6000MHz-Cooling-Graphics-default%2Fdp%2FB09BZRY88T%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dgpu%2Bgraphics%2Bcard%26qid%3D1631700055%26sr%3D8-1-spons%26psc%3D1&qualifier=1631700055&id=1558778656269281&widgetName=sp_atf
"GTX1050Ti 4GB DDR5 Graphics Card, 128bit Desktop Computer Game Video Graphics Card with Dual Cooling Fan, Automatic Recognition Low Noise Computer Graphics Card",£109.59,1.0 out of 5 stars,1,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09298832B2AP062HNRFP&url=%2FGTX1050Ti-Graphics-Computer-Automatic-Recognition%2Fdp%2FB09C6K6RD8%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dgpu%2Bgraphics%2Bcard%26qid%3D1631700055%26sr%3D8-2-spons%26psc%3D1&qualifier=1631700055&id=1558778656269281&widgetName=sp_atf
"MAXSUN GEFORCE GT 1030 2GB GDDR5 Graphics Card GPU mini ITX Design, HDMI, DVI-D, Single Fan Cooling System",£99.99,4.4 out of 5 stars,62,https://www.amazon.co.uk//MAXSUN-GEFORCE-GT-1030-Graphics/dp/B08RD5VMNN/ref=sr_1_3?dchild=1&keywords=gpu+graphics+card&qid=1631700055&sr=8-3
"Palit RTX 3060 Ti Dual 8G GDDR6 Ray-Tracing Graphics Card, 4864 Core, 1410 MHz GPU, 1665 MHz Boost, 3 x DisplayPort, HDMI",£616.80,3.1 out of 5 stars,35,https://www.amazon.co.uk//Palit-GDDR6-Ray-Tracing-Graphics-DisplayPort/dp/B08PFZ28CN/ref=sr_1_4?dchild=1&keywords=gpu+graphics+card&qid=1631700055&sr=8-4
"Palit GeForce RTX 3080 Ti GamingPro 12 GB GDDR6X LHR Graphics Card, 10240 Core, 1365 MHz GPU, 1665 MHz Boost, NVIDIA Ampere, HDMI, DisplayPort x 3, ARGB lighting, Advanced TurboFan 3.0",,3.3 out of 5 stars,9,https://www.amazon.co.uk//Palit-GamingPro-Graphics-DisplayPort-lighting/dp/B096KVBBHQ/ref=sr_1_5?dchild=1&keywords=gpu+graphics+card&qid=1631700055&sr=8-5
Gigabyte GeForce GTX 1050 Ti 4 GB GDDR5 128 bit Graphics Card (GV-N105TOC-4GD),£259.95,4.6 out of 5 stars,"1,423",https://www.amazon.co.uk//Gigabyte-GeForce-GDDR5-Graphics-GV-N105TOC-4GD/dp/B01MEHGRMS/ref=sr_1_6?dchild=1&keywords=gpu+graphics+card&qid=1631700055&sr=8-6
"Palit GeForce RTX 3060 Dual 12GB GDDR6 Graphics Card, 3584 Core, 1320 MHz GPU, 1777 MHz Boost, Ampere Architecture, 3 x DisplayPort, HDMI, Dual Fans with 0-dB Tech",,4.1 out of 5 stars,25,https://www.amazon.co.uk//Palit-GeForce-Graphics-Architecture-DisplayPort/dp/B08WR6DRQQ/ref=sr_1_7?dchild=1&keywords=gpu+graphics+card&qid=1631700055&sr=8-7
"Palit GeForce RTX 2060 Dual 6 GB GDDR6 Graphics Card, 1365 MHz GPU, 1680 MHz Boost, DisplayPort, HDMI, NVIDIA Turing Architecture, Ray-Tracing, Dual Fan",,4.1 out of 5 stars,13,https://www.amazon.co.uk//Palit-Graphics-DisplayPort-Architecture-Ray-Tracing/dp/B08XNHQBJT/ref=sr_1_8?dchild=1&keywords=gpu+graphics+card&qid=1631700055&sr=8-8
"MSI NVIDIA GEFORCE GT 710 2GD3H LP Graphics Card '2GB DDR3, 954MHz, Low Profile, Low Consumption, VGA, DVI-D, HDMI, HTPC, Silent Passive Fanless Cooling System', Black",,4.4 out of 5 stars,"4,620",https://www.amazon.co.uk//MSI-GeForce-Passive-Silent-Graphics/dp/B01AY78MLM/ref=sr_1_9?dchild=1&keywords=gpu+graphics+card&qid=1631700055&sr=8-9
"MSI GEFORCE GT 1030 AERO ITX 2G OC Graphics Card '2 GB GDDR5, 1x SL-DVI-D, 1x HDMI, Boost Clock 1518MHz, Base Clock 1265MHz, MINI-ITX Compact size design, Single Fan Cooling System, NVIDIA'",£125.00,4.5 out of 5 stars,526,https://www.amazon.co.uk//MSI-NVIDIA-GeForce-Express-Graphics/dp/B0716S9LZ3/ref=sr_1_10?dchild=1&keywords=gpu+graphics+card&qid=1631700055&sr=8-10
ADMI Gaming PC: Ryzen 5900X | RTX 3060 Graphics Card | 16GB 3000MHz DDR4 | 240GB SSD | 2TB HDD | 600W PSU Bronze Rated | RGB Gaming Case | Windows 10,"£1,499.95",4.2 out of 5 stars,20,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06681792MVNDKZTDAYTO&url=%2FADMI-Gaming-PC-Graphics-3000MHz%2Fdp%2FB01GVMF6OU%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dgpu%2Bgraphics%2Bcard%26qid%3D1631700055%26sr%3D8-11-spons%26psc%3D1&qualifier=1631700055&id=1558778656269281&widgetName=sp_mtf
"ASUS ROG Strix NVIDIA GeForce RTX 3060 OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.7-Slot, Super Alloy Power II, GPU Tweak II)",,4.6 out of 5 stars,60,https://www.amazon.co.uk//ASUS-Graphics-DisplayPort-Axial-tech-2-7-Slot/dp/B08WGTL4CW/ref=sr_1_12?dchild=1&keywords=gpu+graphics+card&qid=1631700055&sr=8-12
"MSI NVIDIA GEFORCE GT 730 N730K-2GD3H/LP Graphics Card '2GB DDR3, 902MHz, Low Consumption, VGA, DVI-D, HDMI, HTPC, Silent Passive Fanless Cooling System'",£71.12,4.4 out of 5 stars,327,https://www.amazon.co.uk//MSI-Profile-Passive-Pci-E2-0-Graphics/dp/B015T3TDR8/ref=sr_1_13?dchild=1&keywords=gpu+graphics+card&qid=1631700055&sr=8-13
"ASUS PH-GT1030-O2G PCI Express Graphics Card (NVIDIA Geforce, GDDR5 64 Bit Memory) - Black",£96.88,4.5 out of 5 stars,801,https://www.amazon.co.uk//ASUS-PH-GT1030-O2G-Express-Graphics-Geforce/dp/B0727WGG3F/ref=sr_1_14?dchild=1&keywords=gpu+graphics+card&qid=1631700055&sr=8-14
"MSI NVIDIA GEFORCE GTX 1050Ti 4GT LP Graphics Card '4GB GDDR5, 1392MHz, Low Profile design, DisplayPort, HDMI, DVI-D, HTPC, Dual Fan Cooling System', Black",£198.25,4.4 out of 5 stars,572,https://www.amazon.co.uk//MSI-NVIDIA-GeForce-Express-Graphics/dp/B01N683IAQ/ref=sr_1_15?dchild=1&keywords=gpu+graphics+card&qid=1631700055&sr=8-15
"Cooler Master MasterAccessory ARGB GPU Support Bracket - Prevents Graphics Card Sag, ARGB Edge-Lit Tempered Glass, Versatile Design, Magnetic Base, Easy Installation",£29.99,5.0 out of 5 stars,1,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A021426920ZSHKBFQXIIL&url=%2FCooler-Master-MasterAccessory-Support-Bracket%2Fdp%2FB09831RG1S%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3Dgpu%2Bgraphics%2Bcard%26qid%3D1631700055%26sr%3D8-16-spons%26psc%3D1&qualifier=1631700055&id=1558778656269281&widgetName=sp_mtf
"MSI NVIDIA GeForce RTX 3060 GAMING X TRIO 12G Graphics Card 12GB GDDR6, 1852MHz, RGB, 3x DisplayPort, HDMI, TRI FROZR 2 Fan Cooling System",,4.1 out of 5 stars,29,https://www.amazon.co.uk//MSI-GeForce-Graphics-1852MHz-DisplayPort/dp/B08WH4RK2C/ref=sr_1_17?dchild=1&keywords=gpu+graphics+card&qid=1631700055&sr=8-17
"MSI NVIDIA GEFORCE GT 710 1GD3H LP Graphics Card '1GB DDR3, 954MHz, Low Profile, Low Consumption, VGA, DVI-D, HDMI, HTPC, Silent Passive Fanless Cooling System'",£43.50,4.4 out of 5 stars,"1,655",https://www.amazon.co.uk//MSI-NVIDIA-GeForce-Express-Graphics/dp/B01AY7927A/ref=sr_1_18?dchild=1&keywords=gpu+graphics+card&qid=1631700055&sr=8-18
"Palit GeForce GTX 1050 Ti StormX 4 GB GDDR5 Graphics Card, DiplayPort, HDMI, Dual-Link DVI-D, Grey",£222.00,4.6 out of 5 stars,706,https://www.amazon.co.uk//Palit-GTX1050TI-StormX-128-Bit-Graphics/dp/B01M2ZC61B/ref=sr_1_19?dchild=1&keywords=gpu+graphics+card&qid=1631700055&sr=8-19
"Palit GeForce RTX 3080 GamingPro 10GB GDDR6X Ray-Tracing LHR Graphics Card, 8704 Core, 1440MHz GPU, 1710MHz Boost, 3 x DisplayPort, HDMI, Advanced TurboFan 3.0",,4.3 out of 5 stars,57,https://www.amazon.co.uk//Palit-GamingPro-Ray-Tracing-Graphics-DisplayPort/dp/B08JCVWTQY/ref=sr_1_20?dchild=1&keywords=gpu+graphics+card&qid=1631700055&sr=8-20
"4Pcs GPU VGA PCI-E 8 Pin Female Dual 2X 8 Pin (6+2) Male PCI-E Power Cable,Splitter PCI Express Graphics Card Connector GPU Power Extension Cable Graphics Video Card Wire,12.6inch, Myhoomowe",£8.89,,,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A058985767KDUYPZ9J35&url=%2FSplitter-Graphics-Connector-Extension-Myhoomowe-yellow-black%2Fdp%2FB09B38GJ7C%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dgpu%2Bgraphics%2Bcard%26qid%3D1631700055%26sr%3D8-21-spons%26psc%3D1&qualifier=1631700055&id=1558778656269281&widgetName=sp_btf
"PCI-Express PCIE 8 Pin to Dual 8 (6+2) Pin Graphics Video Card GPU Power Cable, 8 Pin Adapter Power Supply PCIE Extension Cable, 40cm PCI-e 8Pin Cable Line-1 Pack",£14.59,3.5 out of 5 stars,3,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02163722LAVF9WOJ0YRF&url=%2FPCI-Express-Graphics-Adapter-Supply-Extension%2Fdp%2FB09329FNRK%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dgpu%2Bgraphics%2Bcard%26qid%3D1631700055%26sr%3D8-22-spons%26psc%3D1&qualifier=1631700055&id=1558778656269281&widgetName=sp_btf
OMEN by HP Laptop 15-dh1005na,"£1,299.99",4.4 out of 5 stars,251,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A005708424MXIGTFUTXBA&url=%2FHP-15-dh1005na-i7-10750H-Dedicated-Graphics%2Fdp%2FB0877C8SBB%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dgpu%2Bgraphics%2Bcard%26qid%3D1631700057%26sr%3D8-17-spons%26psc%3D1&qualifier=1631700057&id=732155212269013&widgetName=sp_atf_next
Rivo 6-Pack PCIe Dual Chip PCI-E 16x to 1x Powered Riser Adapter Card w/ 60cm USB 3.0 Extension Cable & 6 Pin PCI-E to SATA Power Cable - GPU Riser Adapter Extender Cable - Ethereum Mining ETH,£45.88,4.3 out of 5 stars,43,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A01541893CIW7WW2MH34X&url=%2FRivo-6-Pack-Powered-Adapter-Extension%2Fdp%2FB088QL18HN%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dgpu%2Bgraphics%2Bcard%26qid%3D1631700057%26sr%3D8-18-spons%26psc%3D1&qualifier=1631700057&id=732155212269013&widgetName=sp_atf_next
Gigabyte GeForce RTX 3060 GAMING OC 12GB V2 LHR Graphics Card,,4.4 out of 5 stars,23,https://www.amazon.co.uk//Gigabyte-GeForce-GAMING-V2-Graphics/dp/B096Y2TYKV/ref=sr_1_19?dchild=1&keywords=gpu+graphics+card&qid=1631700057&sr=8-19
ASUS GT710-SL-1GD5-BRK GeForce GT 710 1GB GDDR5 great value graphics with passive 0dB efficient cooling includes LP brackets,£43.71,4.5 out of 5 stars,"4,929",https://www.amazon.co.uk//ASUS-GT710-SL-1GD5-GeForce-Graphics-Efficient/dp/B075DCQ8JN/ref=sr_1_20?dchild=1&keywords=gpu+graphics+card&qid=1631700057&sr=8-20
ASUS NVIDIA GeForce GTX 1050 PH-GTX1050TI-4G 4 GB GDDR5 128 Bit Memory HDMI/DP/DVI PCI Express 3 Graphics Card - Black,£245.00,4.7 out of 5 stars,916,https://www.amazon.co.uk//NVIDIA-GeForce-PH-GTX1050TI-4G-Express-Graphics/dp/B01MFBKRI5/ref=sr_1_21?dchild=1&keywords=gpu+graphics+card&qid=1631700057&sr=8-21
Gigabyte GeForce RTX 3070 Ti GAMING OC 8GB Graphics Card,,4.0 out of 5 stars,14,https://www.amazon.co.uk//Gigabyte-GeForce-3070-GAMING-Graphics/dp/B095X6RLJW/ref=sr_1_22?dchild=1&keywords=gpu+graphics+card&qid=1631700057&sr=8-22
"PNY Quadro RTX 4000 Professional Graphic Card 8GB GDDR6 PCI Express 3.0 x16, Single Slot, 3x DisplayPort, 8K Support, Ultra-quiet active fan",£827.45,4.2 out of 5 stars,13,https://www.amazon.co.uk//PNY-Quadro-Rtx-4000-GDDR6/dp/B07L5D2VY6/ref=sr_1_23?dchild=1&keywords=gpu+graphics+card&qid=1631700057&sr=8-23
"MSI NVIDIA GEFORCE GTX 1050Ti GAMING X 4G Graphics Card '4GB GDDR5, 1493MHz, Red LED, DisplayPort, HDMI, DVI-D, Dual Fan Cooling System'",,4.7 out of 5 stars,"4,253",https://www.amazon.co.uk//MSI-NVIDIA-GeForce-GAMING-Memory/dp/B01MAZ357B/ref=sr_1_24?dchild=1&keywords=gpu+graphics+card&qid=1631700057&sr=8-24
"MSI Nvidia GeForce GTX 1660Ti Ventus XS 6G OC Graphics Card 6 GB GDDR6, 1830 MHz, 3x DisplayPort, HDMI, Dual Fan Cooling System",,4.6 out of 5 stars,348,https://www.amazon.co.uk//MSI-Nvidia-GTX1660Ti-Ventus-Fan/dp/B07NWBSHZD/ref=sr_1_25?dchild=1&keywords=gpu+graphics+card&qid=1631700057&sr=8-25
Gigabyte Nvidia GV-N105TD5-4GD 4GB GDDR5 PCI-E - Black,£201.47,4.6 out of 5 stars,649,https://www.amazon.co.uk//Gigabyte-Nvidia-GV-N105TD5-4GD-GDDR5-PCI/dp/B01M6ZANMP/ref=sr_1_26?dchild=1&keywords=gpu+graphics+card&qid=1631700057&sr=8-26
"ADMI Gaming PC: AMD Ryzen 5 3600 4.2GHz, RTX 3060 12GB, 16GB 3000MHz, 240GB SSD, 1TB Hard Drive, 600Mbps Wifi, Windows 10","£1,029.95",4.3 out of 5 stars,476,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A1024658ANAKCF5MSF2M&url=%2FADMI-Gaming-PC-3000MHz-Windows%2Fdp%2FB077GS751Z%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dgpu%2Bgraphics%2Bcard%26qid%3D1631700057%26sr%3D8-27-spons%26psc%3D1&qualifier=1631700057&id=732155212269013&widgetName=sp_mtf
Razer Core X Aluminum GPU - Compatible w/Windows & Mac Thunderbolt 3 Laptops,£259.99,4.4 out of 5 stars,107,https://www.amazon.co.uk//Razer-External-Enclosure-Thunderbolt-Connection/dp/B07D9CD8M9/ref=sr_1_28?dchild=1&keywords=gpu+graphics+card&qid=1631700057&sr=8-28
"GT730 Computer Graphics Cards, 4G 64bit 1200MHz DDR3 Graphics Cards, PCI Express 2.0 Slot for Desktop Computer",£104.79,4.1 out of 5 stars,6,https://www.amazon.co.uk//Dilwe-Computer-Graphics-1200MHz-Express-default/dp/B08RNV8Y1Q/ref=sr_1_29?dchild=1&keywords=gpu+graphics+card&qid=1631700057&sr=8-29
"MAXSUN NVIDIA GEFORCE GT 710 2G DDR3 Graphics Card 954MHz, Low Profile, Low Consumption, VGA, DVI-D, HDMI, HTPC, Silent Passive Fanless Cooling System",£59.99,3.8 out of 5 stars,36,https://www.amazon.co.uk//MAXSUN-GT-710-Graphics-Consumption/dp/B08R8NZB3Y/ref=sr_1_30?dchild=1&keywords=gpu+graphics+card&qid=1631700057&sr=8-30
