Description,Price,Ratings,Review Count,URL
"Wireless Headphones, Tiksounds Bluetooth Headphones with Microphone, IPX7 Waterproof, HI-FI Stereo earphones, 150H Playtime with Charging Case, LED Display for Work/Sports/Game",£25.99,4.2 out of 5 stars,"14,211",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07273173LQXV24UTRIU3&url=%2FWireless-Headphones-Charging-Immersive-Waterproof-Black%2Fdp%2FB08B3QSV16%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1631700189%26sr%3D8-1-spons%26psc%3D1&qualifier=1631700189&id=5538043244955493&widgetName=sp_atf
"JBL Tune 225 TWS In-Ear Earphones - True wireless headphones with up to 25 hours of battery life with charging case, feel the music with JBL Pure Bass sound, in black",£59.00,4.2 out of 5 stars,"1,583",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A1007574KGD2Y361Q5H5&url=%2FJBL-Tune-225-Ear-Earphones-Black%2Fdp%2FB086WZWJMQ%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1631700189%26sr%3D8-2-spons%26psc%3D1&qualifier=1631700189&id=5538043244955493&widgetName=sp_atf
Sony MDR-ZX110 Overhead Headphones - Black,£12.65,4.5 out of 5 stars,"6,965",https://www.amazon.co.uk//Sony-MDRZX110B-AE-Headphones-Black/dp/B00NBR70DO/ref=sr_1_3?dchild=1&keywords=headphones&qid=1631700189&sr=8-3
"DOQAUS Bluetooth Headphones Over Ear, [52 Hrs Playtime] Wireless Headphones, 3 EQ Modes, Foldable Hi-Fi Stereo Bass Headphones, Soft Memory Protein Earmuffs, Built-in Mic ＆ Wired Mode for Phone/PC/TV",£28.04,4.5 out of 5 stars,"16,929",https://www.amazon.co.uk//DOQAUS-Bluetooth-Headphones-Playtime-Microphone-Black/dp/B07Q1YXVWH/ref=sr_1_4?dchild=1&keywords=headphones&qid=1631700189&smid=AC7NJ3WE5HQ1K&sr=8-4
"Sony WH-CH710N Noise Cancelling Wireless Headphones with 35 hours Battery Life, Quick Charge, Built-in Mic and Voice Assistant - Black",£79.00,4.4 out of 5 stars,"1,670",https://www.amazon.co.uk//Sony-WH-CH710N-Cancelling-Headphones-Assistant-Black/dp/B086LLYK4S/ref=sr_1_5?dchild=1&keywords=headphones&qid=1631700189&sr=8-5
"Sony ZX310AP On-Ear Headphones Compatible with Smartphones, Tablets and MP3 Devices - Metallic Black",£14.99,4.5 out of 5 stars,"7,365",https://www.amazon.co.uk//Sony-ZX310AP-Headphones-Compatible-Smartphones-Metallic-Black/dp/B00I3LV336/ref=sr_1_6?dchild=1&keywords=headphones&qid=1631700189&sr=8-6
"Amazon Brand – Umi Bluetooth 5.0 IPX7 W5s True Wireless Earbud Headphones for iPhone, Samsung, Huawei with Patented Intelligent Metal Charging Case (Grey)",£29.99,4.2 out of 5 stars,"21,697",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06334213Q585C9837TC6&url=%2FUMI-Bluetooth-headphones-earphones-intelligent-GREY%2Fdp%2FB07N428SG9%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1631700189%26sr%3D8-7-spons%26psc%3D1&qualifier=1631700189&id=5538043244955493&widgetName=sp_mtf
"60 Hrs Wireless Headphones Over Ear, Hi-Fi Stereo Rechargeable Headset, Foldable Wired/Wireless USB Headset, Soft Memory Protein Earmuffs for Prolonged Wearing, Built-in Mic, Volume Control, Phone PC",£9.99,4.4 out of 5 stars,18,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A10111543FKP4GPJHUB7R&url=%2FWireless-Headphones-Rechargeable-Foldable-Prolonged-1-Black%2Fdp%2FB09985XQYJ%2Fref%3Dsr_1_8_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1631700189%26sr%3D8-8-spons%26psc%3D1&qualifier=1631700189&id=5538043244955493&widgetName=sp_mtf
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",£32.84,4.6 out of 5 stars,"9,099",https://www.amazon.co.uk//Sony-Wh-CH510-Headphones-Hands-Free-Assistant-black/dp/B07WD58H6R/ref=sr_1_9?dchild=1&keywords=headphones&qid=1631700189&sr=8-9
OneOdio Wired Over Ear Headphones Hi-Fi Sound & Bass Boosted headphone with 50mm Neodymium Drivers and 1/4 to 3.5mm Audio Jack for Studio DJ AMP Recording Monitoring Phones Laptop (Red),£34.99,4.5 out of 5 stars,"31,392",https://www.amazon.co.uk//OneOdio-Headphones-Lightweight-Shareport-Monitoring-Red/dp/B07K776ZK6/ref=sr_1_10?dchild=1&keywords=headphones&qid=1631700189&sr=8-10
