Description,Price,Ratings,Review Count,URL
"ASUS VivoBook with Microsoft Office 365 - L510MA 15.6 Inch Full HD Laptop (Intel Celeron N4020, 4GB RAM, 64GB eMMC, Windows 10) Includes 1 Year Microsoft Office 365 Subscription",£219.99,3.8 out of 5 stars,4,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05144362JW0TGQOHA5D7&url=%2FASUS-VivoBook-Microsoft-Office-365%2Fdp%2FB08XB51Q9Z%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1631704745%26sr%3D8-1-spons%26psc%3D1&qualifier=1631704745&id=19569093684777&widgetName=sp_atf
"ASUS Touchscreen Chromebook Flip C234MA 11.6 Inch Laptop (Intel Celeron N4020, 4GB RAM, 64GB eMMC, Chrome OS, Touchscreen & Convertible)",£209.99,4.2 out of 5 stars,"1,638",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0281296SM99LL4MDALN&url=%2FASUS-Touchscreen-Chromebook-Celeron-Convertible%2Fdp%2FB097RCZCG6%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1631704745%26sr%3D8-2-spons%26psc%3D1&qualifier=1631704745&id=19569093684777&widgetName=sp_atf
"ASUS VivoBook with Microsoft Office 365 L410MA 14 Inch Full HD Laptop (Intel Celeron N4020, 4 GB RAM, 64 GB eMMC, Windows 10 S) Includes 1 Year Microsoft Office Subscription, Blue",£286.00,4.4 out of 5 stars,716,https://www.amazon.co.uk//ASUS-VivoBook-Microsoft-Celeron-Subscription/dp/B08BX44FJN/ref=sr_1_3?dchild=1&keywords=laptop&qid=1631704745&qsid=257-4916782-0421462&sr=8-3&sres=B08BX44FJN%2CB08CKXSM6J%2CB0983J8R59%2CB08M751HJF%2CB08938FX9G%2CB08NQ1VX6Z%2CB08Q3XHP3M%2CB0877L4KMD%2CB08R8VLBJ8%2CB0899RQ13Y%2CB08ZT999QF%2CB0896ZF7SM%2CB096K8D93W%2CB08SMLSJBH%2CB097BWTCP4%2CB08R3HK7X9&srpt=NOTEBOOK_COMPUTER
"ASUS VivoBook S 15 - S513EA Full HD 15.6"" Metal Laptop (Intel Quad Core i5-1135G7, 16GB RAM, 512GB SSD, Backlit Keyboard, Windows 10) Includes WiFi 6",£589.97,4.5 out of 5 stars,127,https://www.amazon.co.uk//ASUS-VivoBook-15-i5-1135G7-Keyboard/dp/B08CKXSM6J/ref=sr_1_4?dchild=1&keywords=laptop&qid=1631704745&qsid=257-4916782-0421462&sr=8-4&sres=B08BX44FJN%2CB08CKXSM6J%2CB0983J8R59%2CB08M751HJF%2CB08938FX9G%2CB08NQ1VX6Z%2CB08Q3XHP3M%2CB0877L4KMD%2CB08R8VLBJ8%2CB0899RQ13Y%2CB08ZT999QF%2CB0896ZF7SM%2CB096K8D93W%2CB08SMLSJBH%2CB097BWTCP4%2CB08R3HK7X9&srpt=NOTEBOOK_COMPUTER
"ASUS VivoBook X515JA 15.6"" Full HD IPS Screen Laptop (Intel Core i3, 8GB RAM, 256GB PCIe SSD, Windows 10)",£399.99,4.4 out of 5 stars,122,https://www.amazon.co.uk//ASUS-VivoBook-X515JA-Screen-Windows/dp/B0983J8R59/ref=sr_1_5?dchild=1&keywords=laptop&qid=1631704745&qsid=257-4916782-0421462&sr=8-5&sres=B08BX44FJN%2CB08CKXSM6J%2CB0983J8R59%2CB08M751HJF%2CB08938FX9G%2CB08NQ1VX6Z%2CB08Q3XHP3M%2CB0877L4KMD%2CB08R8VLBJ8%2CB0899RQ13Y%2CB08ZT999QF%2CB0896ZF7SM%2CB096K8D93W%2CB08SMLSJBH%2CB097BWTCP4%2CB08R3HK7X9&srpt=NOTEBOOK_COMPUTER
"iOTA Flo 14-inch Laptop (Intel Celeron Quad Core, 4GB RAM, 64GB eMMC, Windows 10S) Includes; Microsoft 365 Personal 1-year Subscription and M.2 2280 SATA SSD Bay",£219.99,4.1 out of 5 stars,"1,157",https://www.amazon.co.uk//iOTA-Flo-14-inch-Laptop-Windows/dp/B08M751HJF/ref=sr_1_6?dchild=1&keywords=laptop&qid=1631704745&qsid=257-4916782-0421462&sr=8-6&sres=B08BX44FJN%2CB08CKXSM6J%2CB0983J8R59%2CB08M751HJF%2CB08938FX9G%2CB08NQ1VX6Z%2CB08Q3XHP3M%2CB0877L4KMD%2CB08R8VLBJ8%2CB0899RQ13Y%2CB08ZT999QF%2CB0896ZF7SM%2CB096K8D93W%2CB08SMLSJBH%2CB097BWTCP4%2CB08R3HK7X9&srpt=NOTEBOOK_COMPUTER
"ASUS VivoBook with Microsoft Office 365 L410MA 14 Inch Full HD Laptop (Intel Pentium N5030, 4GB RAM, 64 GB eMMC, Windows 10) Includes 1 year Microsoft Office 365, Blue",£279.99,4.8 out of 5 stars,6,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A005804015BA012NJQML1&url=%2FASUS-VivoBook-Microsoft-Pentium-Windows%2Fdp%2FB08SW76N6B%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1631704745%26sr%3D8-7-spons%26psc%3D1&qualifier=1631704745&id=19569093684777&widgetName=sp_mtf
"iOTA Flo 11.6-Inch Laptop Windows 10 Home, 4GB RAM, 64GB eMMC Storage, Intel Celeron Processor [Amazon Exclusive]",£179.99,4.1 out of 5 stars,940,https://www.amazon.co.uk//iOTA-Flo-11-6-Inch-Windows-Processor/dp/B08938FX9G/ref=sr_1_8?dchild=1&keywords=laptop&qid=1631704745&qsid=257-4916782-0421462&sr=8-8&sres=B08BX44FJN%2CB08CKXSM6J%2CB0983J8R59%2CB08M751HJF%2CB08938FX9G%2CB08NQ1VX6Z%2CB08Q3XHP3M%2CB0877L4KMD%2CB08R8VLBJ8%2CB0899RQ13Y%2CB08ZT999QF%2CB0896ZF7SM%2CB096K8D93W%2CB08SMLSJBH%2CB097BWTCP4%2CB08R3HK7X9&srpt=NOTEBOOK_COMPUTER
"New Dell Inspiron 3000 15.6-inch FHD LED Backlight Laptop, AMD Ryzen 5 3500U Processor with Radeon Vega 8 Graphics, 8 GB RAM, 256GB SSD, Waves MaxxAudio Pro, Win 10, Black",£499.00,4.4 out of 5 stars,256,https://www.amazon.co.uk//Dell-Inspiron-15-6-inch-Backlight-Processor/dp/B08NQ1VX6Z/ref=sr_1_9?dchild=1&keywords=laptop&qid=1631704745&qsid=257-4916782-0421462&sr=8-9&sres=B08BX44FJN%2CB08CKXSM6J%2CB0983J8R59%2CB08M751HJF%2CB08938FX9G%2CB08NQ1VX6Z%2CB08Q3XHP3M%2CB0877L4KMD%2CB08R8VLBJ8%2CB0899RQ13Y%2CB08ZT999QF%2CB0896ZF7SM%2CB096K8D93W%2CB08SMLSJBH%2CB097BWTCP4%2CB08R3HK7X9&srpt=NOTEBOOK_COMPUTER
"HP 15s-fq2016sa 15.6"" Laptop - Intel Core i5 8GB 512GB SSD Full HD Windows 10 Home, Silver",£579.99,4.6 out of 5 stars,34,https://www.amazon.co.uk//HP-15s-fq2016sa-pixels-Intel%C2%AE-Windows/dp/B08Q3XHP3M/ref=sr_1_10?dchild=1&keywords=laptop&qid=1631704745&qsid=257-4916782-0421462&sr=8-10&sres=B08BX44FJN%2CB08CKXSM6J%2CB0983J8R59%2CB08M751HJF%2CB08938FX9G%2CB08NQ1VX6Z%2CB08Q3XHP3M%2CB0877L4KMD%2CB08R8VLBJ8%2CB0899RQ13Y%2CB08ZT999QF%2CB0896ZF7SM%2CB096K8D93W%2CB08SMLSJBH%2CB097BWTCP4%2CB08R3HK7X9&srpt=NOTEBOOK_COMPUTER
