Description,Price,Ratings,Review Count,URL
"Netac SSD 250GB 240GB 256GB Internal Solid State Drive Hard Drive SATA SSD 2.5 Inch SATAIII 6Gb/s Easy to Install, Notebook Tablet Desktop PC(N530S 250GB)",£29.99,4.7 out of 5 stars,687,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09766613T9JS4FMKN1J&url=%2FNetac-Internal-SATAIII-Notebook-Desktop%2Fdp%2FB08BCQQT1H%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dssd%26qid%3D1631700220%26sr%3D8-1-spons%26psc%3D1&qualifier=1631700220&id=8946462703065115&widgetName=sp_atf
"Gigastone 256GB 2.5"" Internal SSD 2-Pack 3D NAND Solid State Drive, SATA III 6Gb/s 2.5 inch 7mm (0.28”), Read up to 550MB/s",£59.99,4.6 out of 5 stars,447,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03363272VW6UFI45GZ03&url=%2FGigastone-240GB-Internal-SSD-2-Pack%2Fdp%2FB0899ZFNMK%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dssd%26qid%3D1631700220%26sr%3D8-2-spons%26psc%3D1&qualifier=1631700220&id=8946462703065115&widgetName=sp_atf
WD Blue SN550 1TB High-Performance M.2 PCIe NVME SSD,£69.98,4.8 out of 5 stars,"4,588",https://www.amazon.co.uk//WD-Blue-SN550-High-Performance-Pcie/dp/B07YFFX5MD/ref=sr_1_3?dchild=1&keywords=ssd&qid=1631700220&sr=8-3
"WD Blue 3D NAND Internal SSD 2.5 Inch SATA - 1 TB, Blue - High Performance",£77.72,4.8 out of 5 stars,"9,909",https://www.amazon.co.uk//WD-Blue-NAND-Internal-Inch/dp/B073SBQMCX/ref=sr_1_4?dchild=1&keywords=ssd&qid=1631700220&sr=8-4
"Samsung SSD 870 EVO, 1 TB, Form Factor 2.5&rdquo;, Intelligent Turbo Write, Magician 6 Software, Black (Internal SSD)",£100.00,4.8 out of 5 stars,"7,320",https://www.amazon.co.uk//Samsung-Intelligent-Magician-Software-Internal/dp/B08PC5DKZQ/ref=sr_1_5?dchild=1&keywords=ssd&qid=1631700220&sr=8-5
"Integral V Series 2 120GB SATA III 2.5 Internal SSD, Up To 460MB/S Read 300MB/S Write INSSD120GS625V2",£14.44,4.8 out of 5 stars,"1,349",https://www.amazon.co.uk//Integral-120-Solid-State-Drive/dp/B06XC538RK/ref=sr_1_6?dchild=1&keywords=ssd&qid=1631700220&sr=8-6
"SanDisk SSD PLUS 1 TB Sata III 2.5 Inch Internal SSD, Up to 535 MB/s, Black",£85.98,4.8 out of 5 stars,"37,225",https://www.amazon.co.uk//SanDisk-SDSSDA-1T00-G26-Internal-Speed-Write/dp/B07D998212/ref=sr_1_7?dchild=1&keywords=ssd&qid=1631700220&sr=8-7
"Crucial MX500 500 GB CT500MX500SSD1-Up to 560 MB/s (3D NAND, SATA, 2.5 Inch, Internal SSD)",£49.99,4.8 out of 5 stars,"63,585",https://www.amazon.co.uk//Crucial-MX500-CT500MX500SSD1-NAND-Internal/dp/B0786QNS9B/ref=sr_1_8?dchild=1&keywords=ssd&qid=1631700220&sr=8-8
"Kingston SSDNow A400 240GB SATA 3 Solid State Drive (SA400S37/240G), Black",£26.20,4.8 out of 5 stars,"9,646",https://www.amazon.co.uk//Kingston-SA400S37-240G-Solid-State/dp/B01N5IB20Q/ref=sr_1_9?dchild=1&keywords=ssd&qid=1631700220&sr=8-9
"PNY CS900 Series 2.5"" SATA III 6Gb/s - 120GB SSD - internal solid state drive",£16.99,4.7 out of 5 stars,"9,862",https://www.amazon.co.uk//PNY-CS900-INTERNAL-FLASH-DRIVE/dp/B01KFLH1WS/ref=sr_1_10?dchild=1&keywords=ssd&qid=1631700220&sr=8-10
"TCSUNBOW SSD 3D NAND 2.5 Inch Internal Performance Solid State Drive SATA III 6 Gb/s, 7mm, Up to 560 MB/s (X3-60GB, X3 Series)",£15.99,4.5 out of 5 stars,"6,240",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A086104830BFF8J02635H&url=%2FTCSUNBOW-Internal-Performance-X3-60GB-X3%2Fdp%2FB09838BLGR%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dssd%26qid%3D1631700220%26sr%3D8-11-spons%26psc%3D1&qualifier=1631700220&id=8946462703065115&widgetName=sp_mtf
Lexar NS100 2.5” SATA III (6Gb/s) 512GB SSD,£48.84,4.7 out of 5 stars,"2,710",https://www.amazon.co.uk//Lexar-NS100-2-5-SATA-512GB/dp/B07TQSYBPH/ref=sr_1_12?dchild=1&keywords=ssd&qid=1631700220&sr=8-12
SanDisk Extreme Portable SSD 1TB up to 550MB/s read,£118.00,4.8 out of 5 stars,"37,326",https://www.amazon.co.uk//SanDisk-Extreme-Portable-SSD-Read/dp/B078STRHBX/ref=sr_1_13?dchild=1&keywords=ssd&qid=1631700220&sr=8-13
"Crucial BX500 480 GB CT480BX500SSD1-Up to 540 MB/s (Internal SSD, 3D NAND, SATA, 2.5 Inch), Black",£42.90,4.8 out of 5 stars,"43,142",https://www.amazon.co.uk//Crucial-CT480BX500SSD1-Internal-Solid-State/dp/B07G3KGYZQ/ref=sr_1_14?dchild=1&keywords=ssd&qid=1631700220&sr=8-14
"Crucial P2 CT1000P2SSD8 1 TB Internal SSD, Up to 2400 MB/s (3D NAND, NVMe, PCIe, M.2)",£94.49,4.7 out of 5 stars,"9,670",https://www.amazon.co.uk//Crucial-CT1000P2SSD8-Internal-2400-NAND/dp/B089DNM8LR/ref=sr_1_15?dchild=1&keywords=ssd&qid=1631700220&sr=8-15
