Description,Price,Ratings,Review Count,URL
"Fire 7 Tablet | 7"" display, 16 GB, Black - with Ads",£49.99,4.5 out of 5 stars,"66,741",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0598183MC6RZ25VJ44D&url=%2FFire-7-Tablet---Black---16-GB%2Fdp%2FB07JQRYR5M%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dtablet%26qid%3D1631700158%26sr%3D8-1-spons%26psc%3D1&qualifier=1631700158&id=7825670376972528&widgetName=sp_atf
"All-new Fire HD 10 tablet | 10.1"", 1080p Full HD, 32 GB, Black - without Ads",£159.99,4.7 out of 5 stars,"2,276",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03857502FF02BLADRXZ2&url=%2Ffire-hd-10-tablet%2Fdp%2FB08F67XG18%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dtablet%26qid%3D1631700158%26sr%3D8-2-spons%26psc%3D1&qualifier=1631700158&id=7825670376972528&widgetName=sp_atf
"Fire 7 Tablet | 7"" display, 16 GB, Twilight Blue - with Ads",£49.99,4.5 out of 5 stars,"66,741",https://www.amazon.co.uk//Fire-7-Tablet---Blue---16-GB/dp/B07JQP283L/ref=sr_1_3?dchild=1&keywords=tablet&qid=1631700158&sr=8-3
"All-new Fire HD 10 tablet | 10.1"", 1080p Full HD, 32 GB, Black - without Ads",£159.99,4.7 out of 5 stars,"2,276",https://www.amazon.co.uk//fire-hd-10-tablet/dp/B08F67XG18/ref=sr_1_4?dchild=1&keywords=tablet&qid=1631700158&sr=8-4
Samsung Galaxy Tab A7 32 GB Wi-Fi Android Tablet - Dark Grey (UK Version),£155.00,4.7 out of 5 stars,"5,771",https://www.amazon.co.uk//Samsung-Galaxy-Wi-Fi-Android-Tablet/dp/B08FCNHP4C/ref=sr_1_5?dchild=1&keywords=tablet&qid=1631700158&sr=8-5
"Fire HD 8 Tablet, 8"" HD display, 32 GB, Black - with Ads, designed for portable entertainment",£89.99,4.6 out of 5 stars,"20,961",https://www.amazon.co.uk//all-new-fire-hd-8-tablet-8-hd-display-32-64-gb-black-with-special-offers-designed-for-portable-entertainment/dp/B07WDF13WC/ref=sr_1_6?dchild=1&keywords=tablet&qid=1631700158&sr=8-6
"New: Fire HD 10 Kids Pro tablet | for ages 6-12 | 10.1"", 1080p Full HD, 32 GB | Doodle Kid-Friendly Case",£199.99,4.7 out of 5 stars,259,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04607251ZKBIZVFV19XH&url=%2Ffire-hd-10-kids-pro%2Fdp%2FB08F6CSTK1%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dtablet%26qid%3D1631700158%26sr%3D8-7-spons%26psc%3D1&qualifier=1631700158&id=7825670376972528&widgetName=sp_mtf
"Fire HD 8 Tablet, 8"" HD display, 32 GB, Plum - with Ads, designed for portable entertainment",£89.99,4.6 out of 5 stars,"20,961",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A015857629YH3IUYH8RNK&url=%2Fall-new-fire-hd-8-tablet-8-hd-display-32-64-gb-plum-with-special-offers-designed-for-portable-entertainment%2Fdp%2FB07WJS49WQ%2Fref%3Dsr_1_8_sspa%3Fdchild%3D1%26keywords%3Dtablet%26qid%3D1631700158%26sr%3D8-8-spons%26psc%3D1&qualifier=1631700158&id=7825670376972528&widgetName=sp_mtf
"Fire 7 Kids tablet | for ages 3-7 | 7"" Display, 16 GB | Blue Kid-Proof Case",£99.99,4.6 out of 5 stars,"27,413",https://www.amazon.co.uk//Fire-7-Kids-Edition---Black-Blue---16-GB/dp/B07H8XTGFN/ref=sr_1_9?dchild=1&keywords=tablet&qid=1631700158&sr=8-9
"Tablet 10 Inch Android 10.0 Phablet 4GB RAM,64GB ROM(Expand to 128G) Tablet PC | Doule SIM | 8000mAh | 5.0+8.0 MP Camera | Wi-Fi | Bluetooth | GPS | With Mouse & Keyboard (gold)",£143.66,4.1 out of 5 stars,387,https://www.amazon.co.uk//Android-Phablet-8000mAh-Bluetooth-Keyboard/dp/B08Y8GY2WB/ref=sr_1_10?dchild=1&keywords=tablet&qid=1631700158&sr=8-10
