Description,Price,Ratings,Review Count,URL
"TCL 32P500K 32-Inch LED Smart Android TV HD, HDR, Micro Dimming, Netflix, YouTube, DVB Compatible, Dolby Audio, Bluetooth, Wi-Fi, USB 2 x HDMI, Narrow Design for Kitchen, Bedroom",£199.00,4.5 out of 5 stars,"3,019",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00977071HNQCI0OT3J86&url=%2FTCL-32P500K-32-Inch-Compatible-Bluetooth%2Fdp%2FB096DNF891%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1631704518%26sr%3D8-1-spons%26psc%3D1&qualifier=1631704518&id=3938801692844357&widgetName=sp_atf
"TCL 43P610K 43-Inch 4K Smart TV 3.0 Ultra HD - Freeview Play / BBC iPlayer / Netflix / YouTube / Smart HDR, Dolby Audio, Wi-Fi ,2*HDMI, 1*USB Port, Slim design, Black",£298.21,4.2 out of 5 stars,"2,164",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A014002622FX1IY17TX04&url=%2FTCL-43P610K-43-Inch-Smart-Ultra%2Fdp%2FB08PFMN3CL%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1631704518%26sr%3D8-2-spons%26psc%3D1&qualifier=1631704518&id=3938801692844357&widgetName=sp_atf
"JVC Fire TV 40"" Smart Full HD LED TV",£279.99,4.1 out of 5 stars,"1,679",https://www.amazon.co.uk//JVC-Fire-Smart-Full-LED/dp/B08N1BT4NK/ref=sr_1_3?dchild=1&keywords=tv&qid=1631704518&qsid=257-4916782-0421462&sr=8-3&sres=B08N1BT4NK%2CB096DNF891%2CB08PC3F7G9%2CB089NJRMDH%2CB08CVQ3NHX%2CB08X3RK5TT%2CB089NCXBWL%2CB08PFMN3CL%2CB088TXBQ1P%2CB089P2LTHD%2CB08R5M55KZ%2CB08X3Q5DMR%2CB08ZNMT5BY%2CB08HPT27CQ%2CB015FUY05A%2CB08X3RRY94&srpt=TELEVISION
"TCL 32P500K 32-Inch LED Smart Android TV HD, HDR, Micro Dimming, Netflix, YouTube, DVB Compatible, Dolby Audio, Bluetooth, Wi-Fi, USB 2 x HDMI, Narrow Design for Kitchen, Bedroom",£199.00,4.5 out of 5 stars,"3,019",https://www.amazon.co.uk//TCL-32P500K-32-Inch-Compatible-Bluetooth/dp/B096DNF891/ref=sr_1_4?dchild=1&keywords=tv&qid=1631704518&qsid=257-4916782-0421462&sr=8-4&sres=B08N1BT4NK%2CB096DNF891%2CB08PC3F7G9%2CB089NJRMDH%2CB08CVQ3NHX%2CB08X3RK5TT%2CB089NCXBWL%2CB08PFMN3CL%2CB088TXBQ1P%2CB089P2LTHD%2CB08R5M55KZ%2CB08X3Q5DMR%2CB08ZNMT5BY%2CB08HPT27CQ%2CB015FUY05A%2CB08X3RRY94&srpt=TELEVISION
JVC Fire TV Edition 43'' Smart 4K Ultra HD HDR LED TV,£299.00,4.1 out of 5 stars,"1,775",https://www.amazon.co.uk//43-fire-tv-edition-smart-4k-ultra-hd-hdr-led-tv/dp/B08PC3F7G9/ref=sr_1_5?dchild=1&keywords=tv&qid=1631704518&qsid=257-4916782-0421462&sr=8-5&sres=B08N1BT4NK%2CB096DNF891%2CB08PC3F7G9%2CB089NJRMDH%2CB08CVQ3NHX%2CB08X3RK5TT%2CB089NCXBWL%2CB08PFMN3CL%2CB088TXBQ1P%2CB089P2LTHD%2CB08R5M55KZ%2CB08X3Q5DMR%2CB08ZNMT5BY%2CB08HPT27CQ%2CB015FUY05A%2CB08X3RRY94&srpt=TELEVISION
"Philips Ambilight 58PUS8545/12 58-Inch LED TV (4K UHD, P5 Engine, Dolby Vision, Dolby Atmos, HDR 10+, Freeview Play, Compatible with Alexa, Android TV) Mid Silver/Light Silver (2020/2021 Model)",£599.00,4.6 out of 5 stars,898,https://www.amazon.co.uk//Philips-Ambilight-58PUS8545-12-TV/dp/B089NJRMDH/ref=sr_1_6?dchild=1&keywords=tv&qid=1631704518&qsid=257-4916782-0421462&sr=8-6&sres=B08N1BT4NK%2CB096DNF891%2CB08PC3F7G9%2CB089NJRMDH%2CB08CVQ3NHX%2CB08X3RK5TT%2CB089NCXBWL%2CB08PFMN3CL%2CB088TXBQ1P%2CB089P2LTHD%2CB08R5M55KZ%2CB08X3Q5DMR%2CB08ZNMT5BY%2CB08HPT27CQ%2CB015FUY05A%2CB08X3RRY94&srpt=TELEVISION
"JVC LT-32CF600 Fire TV Edition 32"" Smart HD Ready LED TV",£209.99,4.1 out of 5 stars,"1,679",https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A053314828E6MRCAN4WVE&url=%2FJVC-Fire-TV-Edition-32%25E2%2580%259D-Smart-HD-Ready-LED-TV%2Fdp%2FB08N1CNHXL%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1631704518%26sr%3D8-7-spons%26psc%3D1&qualifier=1631704518&id=3938801692844357&widgetName=sp_mtf
"32DVD400 32"" HD Ready LED TV with DVD Player",£179.00,4.9 out of 5 stars,17,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05810911CYPDJTAZO8NA&url=%2F32DVD400-Ready-LED-DVD-Player%2Fdp%2FB08V899HTH%2Fref%3Dsr_1_8_sspa%3Fdchild%3D1%26keywords%3Dtv%26qid%3D1631704518%26sr%3D8-8-spons%26psc%3D1&qualifier=1631704518&id=3938801692844357&widgetName=sp_mtf
"Philips Ambilight 70PUS7855/12 70-Inch LED TV (4K UHD, P5 Perfect Picture Engine, Dolby Vision, Dolby Atmos, HDR 10+, Alexa Built-In, Freeview Play, Saphi Smart TV) - Light-Silver (2020/2021 Model)",£767.35,4.3 out of 5 stars,647,https://www.amazon.co.uk//Philips-Ambilight-70PUS7855-12-TV/dp/B08CVQ3NHX/ref=sr_1_9?dchild=1&keywords=tv&qid=1631704518&qsid=257-4916782-0421462&sr=8-9&sres=B08N1BT4NK%2CB096DNF891%2CB08PC3F7G9%2CB089NJRMDH%2CB08CVQ3NHX%2CB08X3RK5TT%2CB089NCXBWL%2CB08PFMN3CL%2CB088TXBQ1P%2CB089P2LTHD%2CB08R5M55KZ%2CB08X3Q5DMR%2CB08ZNMT5BY%2CB08HPT27CQ%2CB015FUY05A%2CB08X3RRY94&srpt=TELEVISION
"LG 43UP77006LB 43 inch 4K UHD HDR Smart LED TV (2021 Model) with Freeview Play, Prime Video, Netflix, Disney+, Google Assistant and Alexa compatible",£399.00,4.5 out of 5 stars,"2,012",https://www.amazon.co.uk//LG-43UP77006LB-Freeview-Assistant-compatible/dp/B08X3RK5TT/ref=sr_1_10?dchild=1&keywords=tv&qid=1631704518&qsid=257-4916782-0421462&sr=8-10&sres=B08N1BT4NK%2CB096DNF891%2CB08PC3F7G9%2CB089NJRMDH%2CB08CVQ3NHX%2CB08X3RK5TT%2CB089NCXBWL%2CB08PFMN3CL%2CB088TXBQ1P%2CB089P2LTHD%2CB08R5M55KZ%2CB08X3Q5DMR%2CB08ZNMT5BY%2CB08HPT27CQ%2CB015FUY05A%2CB08X3RRY94&srpt=TELEVISION
"HISENSE 40A5600FTUK 40-inch Full HD 1080P Smart TV with dbx-tv Sound, WiFi, USB Playback, Netflix, Freeview play (2020 series), Black",£279.00,4.4 out of 5 stars,"1,130",https://www.amazon.co.uk//HISENSE-40A5600FTUK-40-inch-Playback-Freeview/dp/B089NCXBWL/ref=sr_1_11?dchild=1&keywords=tv&qid=1631704518&qsid=257-4916782-0421462&sr=8-11&sres=B08N1BT4NK%2CB096DNF891%2CB08PC3F7G9%2CB089NJRMDH%2CB08CVQ3NHX%2CB08X3RK5TT%2CB089NCXBWL%2CB08PFMN3CL%2CB088TXBQ1P%2CB089P2LTHD%2CB08R5M55KZ%2CB08X3Q5DMR%2CB08ZNMT5BY%2CB08HPT27CQ%2CB015FUY05A%2CB08X3RRY94&srpt=TELEVISION
