Description,Price,Ratings,Review Count,URL
"Amazon Basics USB-C 3.1 Adapter with VGA, USB 3.0 Port, USB-C ports and 100W Power Delivery",£11.64,4.5 out of 5 stars,143,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04640371WNCPY2TQPG1Y&url=%2FAmazonBasics-USB-C-Adapter-ports-Delivery%2Fdp%2FB08989SHD7%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dusb%2Bhub%26qid%3D1631700370%26sr%3D8-1-spons%26psc%3D1&qualifier=1631700370&id=962822760473114&widgetName=sp_atf
"4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, PS4, PS5 and More",£11.99,4.4 out of 5 stars,272,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0934768IYM2DQ2ZJ75W&url=%2F4-Port-Macbook-Surface-Notebook-Drives%2Fdp%2FB08L56W3ZW%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dusb%2Bhub%26qid%3D1631700370%26sr%3D8-2-spons%26psc%3D1%26smid%3DA1OQZT23BTDFUS&qualifier=1631700370&id=962822760473114&widgetName=sp_atf
Sabrent 4-Port USB 3.0 Hub with Individual LED Power Switches (HB-UM43),£11.93,4.6 out of 5 stars,"125,174",https://www.amazon.co.uk//Sabrent-4-Port-Individual-Switches-HB-UM43/dp/B00JX1ZS5O/ref=sr_1_3?dchild=1&keywords=usb+hub&qid=1631700370&sr=8-3
"USB Hub, 4-Port USB Hub Ultra Slim Portable USB Splitter for iMac Pro, MacBook Air, Mac Mini/Pro, Surface Pro, Notebook PC, Laptop, USB Flash Drives, and Mobile HDD (usb 2.0hub)",£6.39,4.3 out of 5 stars,"2,489",https://www.amazon.co.uk//Portable-Splitter-MacBook-Surface-Notebook-usb-2-0-hub/dp/B08CMPSCMQ/ref=sr_1_4?dchild=1&keywords=usb+hub&qid=1631700370&sr=8-4
"Beikell USB 3.0 Hub, 4-Port USB Hub Ultra-Slim Data Hub with LED Indicator High Speed for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, USB Flash Drives, Notebook PC, Mobile HDD, etc.",£7.99,4.6 out of 5 stars,"4,494",https://www.amazon.co.uk//Beikell-Ultra-Slim-Indicator-Macbook-Notebook/dp/B086P9Z2SV/ref=sr_1_5?dchild=1&keywords=usb+hub&qid=1631700370&sr=8-5
"[Upgraded Version] Anker 4-Port USB 3.0 Ultra Slim Data Hub with 2 ft Extended Cable for Macbook, Mac Pro / mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",£15.99,4.7 out of 5 stars,"68,689",https://www.amazon.co.uk//Anker-Extended-MacBook-Surface-Notebook/dp/B07L32B9C2/ref=sr_1_6?dchild=1&keywords=usb+hub&qid=1631700370&sr=8-6
"Amazon Basics USB 3.1 Type-A to 4-Port Aluminum Hub, Black",£15.49,4.5 out of 5 stars,997,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06608392AVLVSLR8YXPD&url=%2FAmazonBasics-Type-4-Port-Aluminum-Black%2Fdp%2FB07514FL43%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dusb%2Bhub%26qid%3D1631700370%26sr%3D8-7-spons%26psc%3D1&qualifier=1631700370&id=962822760473114&widgetName=sp_mtf
USB Hub 7-Port USB 3.0 Hub with Individual LED Power Switches NIAGUOJI Portable Adapter High speed Expansion Multi USB Hub Splitter Lead Adapter Cable for Tablet Laptop Computer Netbook Printer,£18.99,3.9 out of 5 stars,574,https://www.amazon.co.uk//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0387909G3BAV19OZFNI&url=%2FIndividual-Switches-NIAGUOJI-Portable-Expansion%2Fdp%2FB08GCK9J2W%2Fref%3Dsr_1_8_sspa%3Fdchild%3D1%26keywords%3Dusb%2Bhub%26qid%3D1631700370%26sr%3D8-8-spons%26psc%3D1&qualifier=1631700370&id=962822760473114&widgetName=sp_mtf
"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",£13.99,4.6 out of 5 stars,"12,995",https://www.amazon.co.uk//Anker-4-Port-Macbook-Surface-Notebook/dp/B00Y25XFGK/ref=sr_1_9?dchild=1&keywords=usb+hub&qid=1631700370&sr=8-9
"ISOUL USB Hub, 4-Port Ultra-Slim USB 2.0 Hub Portable Adapter High speed Expansion Multi USB Hub Splitter Lead Adapter Cable For PC Laptop, Desktop, PS3 PS4, Xbox, Wii, MAC, NoteBook, MacBook, NetBook",£6.95,4.3 out of 5 stars,"5,956",https://www.amazon.co.uk//ISOUL-Ultra-Slim-Portable-Expansion-Splitter/dp/B01DYD3Q28/ref=sr_1_10?dchild=1&keywords=usb+hub&qid=1631700370&sr=8-10
